theta_1,theta_2,energy
90.0,90.0,-1.8020677649453305e-15
90.0,90.0,9.623609981979322e-07
89.99999437928403,90.0,1.924722000136783e-06
89.9999831378521,90.0,2.8870829996580155e-06
89.99996627570418,90.0,3.849444001118283e-06
89.9999437928403,90.0,4.811805000161299e-06
89.99991568926046,90.0,5.774166001143857e-06
89.99988196496463,90.0,6.73652699970963e-06
89.99984261995284,90.0,7.698888000215081e-06
89.99979765422508,90.0,8.661248998303222e-06
89.99974706778134,90.0,9.623609998329273e-06
89.99969086062164,90.0,1.0585971000290909e-05
89.99962903274597,90.0,1.1548331999827836e-05
89.99956158415434,90.0,1.2510693001290901e-05
89.99948851484672,90.0,1.3473054000315407e-05
89.99940982482313,89.99999999999999,1.4435414999068672e-05
89.9993255140836,89.99999999999997,1.5397775999714304e-05
89.99923558262807,89.99999999999996,1.636013699787668e-05
89.99914003045659,89.99999999999994,1.7322497997888703e-05
89.99903885756913,89.99999999999993,1.8284858997542452e-05
89.99893206396571,89.99999999999989,1.9247219996801606e-05
89.99881964964634,89.99999999999984,2.0209580997801067e-05
89.998701614611,89.9999999999998,2.1171941998310523e-05
89.99857795885968,89.99999999999973,2.213430299826839e-05
89.99844868239242,89.99999999999964,2.309666399978095e-05
89.99831378520919,89.99999999999955,2.4059025000586665e-05
89.99817326731001,89.99999999999942,2.5021386002767473e-05
89.99802712869489,89.99999999999925,2.598374700403473e-05
89.9978753693638,89.99999999999905,2.6946108004263108e-05
89.99771798931677,89.9999999999988,2.790846900331057e-05
89.9975549885538,89.99999999999851,2.8870830003195473e-05
89.99738636707488,89.99999999999817,2.9833191003738593e-05
89.99721212488005,89.99999999999775,3.079555200691752e-05
89.99703226196928,89.99999999999729,3.175791301250944e-05
89.99684677834259,89.99999999999673,3.2720274015911495e-05
89.99665567399998,89.99999999999608,3.3682635021207e-05
89.99645894894147,89.99999999999532,3.46449960259179e-05
89.99625660316705,89.99999999999446,3.56073570297146e-05
89.99604863667673,89.99999999999345,3.656971803223715e-05
89.99583504947053,89.9999999999923,3.7532079039626466e-05
89.99561584154846,89.99999999999099,3.849444004709818e-05
89.99539101291053,89.9999999999895,3.9456801056365334e-05
89.99516056355672,89.9999999999878,4.04191620625668e-05
89.99492449348709,89.99999999998589,4.1381523069514625e-05
89.99468280270163,89.99999999998373,4.234388407879739e-05
89.99443549120036,89.9999999999813,4.330624508978192e-05
89.9941825589833,89.99999999997857,4.426860610178603e-05
89.99392400605043,89.99999999997553,4.523096711190038e-05
89.99365983240182,89.99999999997212,4.6193328125874056e-05
89.99339003803746,89.99999999996834,4.7155689138513295e-05
89.99311462295736,89.99999999996413,4.811805015545378e-05
89.99283358716157,89.99999999995948,4.908041117138596e-05
89.9925469306501,89.99999999995433,5.004277218746472e-05
89.99225465342295,89.99999999994864,5.100513320478598e-05
89.99195675548017,89.99999999994237,5.196749422219744e-05
89.99165323682179,89.99999999993547,5.292985524065364e-05
89.99134409744782,89.99999999992792,5.389221626539344e-05
89.99102933735831,89.99999999991964,5.485457728850824e-05
89.99070895655329,89.99999999991056,5.581693831072272e-05
89.99038295503277,89.99999999990067,5.677929933703722e-05
89.99005133279681,89.99999999988987,5.774166036583194e-05
89.98971408984545,89.99999999987811,5.8704021395396874e-05
89.9893712261787,89.99999999986532,5.9666382428287274e-05
89.98902274179663,89.99999999985143,6.0628743462607954e-05
89.98866863669927,89.99999999983636,6.159110449854063e-05
89.98830891088667,89.99999999982006,6.255346553834824e-05
89.98794356435889,89.99999999980241,6.351582658200954e-05
89.98757259711596,89.99999999978334,6.447818762503506e-05
89.98719600915793,89.99999999976276,6.544054867371838e-05
89.98681380048487,89.9999999997406,6.6402909725519e-05
89.98642597109682,89.99999999971672,6.736527077778453e-05
89.98603252099386,89.99999999969103,6.832763183209269e-05
89.98563345017604,89.99999999966343,6.928999288989546e-05
89.98522875864343,89.99999999963381,7.025235395469002e-05
89.98481844639609,89.99999999960207,7.121471502113084e-05
89.9844025134341,89.99999999956805,7.217707609026569e-05
89.98398095975755,89.99999999953162,7.313943716300269e-05
89.98355378536647,89.9999999994927,7.410179824010165e-05
89.98312099026099,89.9999999994511,7.506415932435374e-05
89.98268257444117,89.99999999940673,7.602652041403899e-05
89.9822385379071,89.99999999935939,7.69888815050938e-05
89.98178888065885,89.99999999930893,7.79512425998401e-05
89.98133360269655,89.99999999925521,7.891360370042202e-05
89.98087270402029,89.99999999919807,7.987596480664005e-05
89.98040618463014,89.9999999991373,8.083832591811429e-05
89.97993404452625,89.99999999907276,8.180068703429137e-05
89.9794562837087,89.99999999900423,8.276304815878124e-05
