theta_1,theta_2,energy
90.0,90.0,-1.8020677649453305e-15
89.99971896420149,90.0,-8.95998227869177e-16
89.99887585680605,89.99999999999983,-6.300840925399509e-16
89.99747067781455,89.99999999999804,-1.2937784524269524e-15
89.99550342723028,89.99999999998893,-1.5918256296432176e-15
89.99297410506186,89.99999999995775,-4.692427002517263e-15
89.98988271132718,89.99999999987384,-5.780098621954721e-15
89.98622924605853,89.99999999968183,-9.041378756791119e-15
89.98201370930882,89.99999999929103,-8.727393807639316e-15
89.97723610115898,89.99999999856271,-8.362234515946199e-15
89.9718964217265,89.99999999729548,-8.389122729823839e-15
89.96599467117501,89.99999999520874,-1.0167214292700066e-14
89.9595308497252,89.99999999192424,-1.4556064686921388e-14
89.9525049576666,89.99999998694561,-1.723968190425751e-14
89.9449169953708,89.99999997963589,-2.040034807748725e-14
89.93676696330547,89.9999999691933,-2.156955170029562e-14
89.92805486204986,89.99999995462488,-2.3151619510386467e-14
89.91878069231115,89.9999999347183,-2.780067842600431e-14
89.90894445494213,89.99999990801163,-3.2720354203874535e-14
89.89854615095992,89.99999987276125,-3.5964287103951165e-14
89.88758578156583,89.99999982690777,-3.94545507376165e-14
89.87606334816638,89.99999976804,-4.431871536425547e-14
89.86397885239546,89.99999969335697,-4.952288579218589e-14
89.85133229613761,89.99999959962807,-5.3762549967473205e-14
89.83812368155243,89.99999948315113,-5.833528105014807e-14
89.8243530111001,89.99999933970862,-6.452477441243332e-14
89.81002028756816,89.999999164522,-6.98885394001536e-14
89.79512551409923,89.99999895220385,-7.419065362057609e-14
89.77966869421998,89.99999869670842,-7.985279104616438e-14
89.76364983187128,89.99999839127993,-8.448797217397441e-14
89.74706893143939,89.9999980283991,-8.766598558196392e-14
89.72992599778823,89.99999759972765,-9.409140133698202e-14
89.71222103629303,89.99999709605098,-1.0019762797242038e-13
89.69395405287477,89.99999650721867,-1.0572098751993053e-13
89.67512505403607,89.99999582208342,-1.1281253708972372e-13
89.65573404689798,89.99999502843761,-1.1944611966185903e-13
89.63578103923798,89.99999411294829,-1.2452538999951912e-13
89.6152660395292,89.99999306109002,-1.3344880755994382e-13
89.59418905698058,89.99999185707591,-1.4280243654241076e-13
89.57255010157833,89.9999904837866,-1.4921397450962104e-13
89.5503491841284,89.99998892269738,-1.570410468332284e-13
89.5275863163001,89.99998715380347,-1.6600609775707653e-13
89.50426151067099,89.99998515554313,-1.753874823151591e-13
89.48037478077256,89.99998290471916,-1.836308882730009e-13
89.45592614113738,89.99998037641821,-1.9009793739144243e-13
89.43091560734717,89.99997754392831,-1.9972912213006566e-13
89.40534319608203,89.99997437865446,-2.0930479571745764e-13
89.3792089251708,89.99997085003233,-2.188804693048496e-13
89.35251281364252,89.99996692543996,-2.3053781106341376e-13
89.32525488177905,89.99996257010771,-2.3928081738233686e-13
89.29743515116863,89.99995774702612,-2.466915560717098e-13
89.26905364476079,89.99995241685204,-2.569056078982612e-13
89.24011038692221,89.99994653781275,-2.649547248267936e-13
89.21060540349367,89.99994006560831,-2.74724687443495e-13
89.1805387218482,89.99993295331187,-2.856603842360528e-13
89.14991037095018,89.99992515126824,-2.970956813896919e-13
89.11872038141574,89.99991660699052,-3.073652443674746e-13
89.08696878557399,89.99990726505489,-3.1941116418465754e-13
89.05465561752955,89.99989706699346,-3.2951419370874646e-13
89.02178091322605,89.99988595118542,-3.427258477017858e-13
88.98834471051077,89.9998738527462,-3.560485239972877e-13
88.95434704920025,89.99986070341484,-3.67095243092308e-13
88.9197879711471,89.99984643143951,-3.784195179434846e-13
88.88466752030777,89.99983096146126,-3.88189480560186e-13
88.84898574281138,89.9998142143959,-3.9784842087442485e-13
88.81274268702974,89.99979610731404,-4.1011638529653283e-13
88.77593840364824,89.99977655331939,-4.2404968425557854e-13
88.73857294573784,89.99975546142532,-4.3703929364369287e-13
88.70064636882817,89.99973273642948,-4.485856130997945e-13
88.66215873098159,89.99970827878673,-4.642397577470092e-13
88.62311009286825,89.99968198448039,-4.782840790085174e-13
88.5835005178422,89.99965374489167,-4.912736883966318e-13
88.54333007201856,89.99962344666726,-5.077049891610841e-13
