theta_1,theta_2,energy
90.0,90.0,-1.8020677649453305e-15
89.88758577074783,89.99999985575597,-6.174137277825675e-09
89.5503491409482,89.9999890379351,-2.4674611492914167e-08
88.9883446146092,89.9998741099066,-5.525333779399233e-08
88.20178390043036,89.99929212371187,-9.68916333832226e-08
87.19121571537973,89.99730227689622,-1.4700208106344093e-07
85.95777208469775,89.99196323913102,-2.0075739626257416e-07
84.50347033755385,89.97981412882427,-2.5136296422090254e-07
82.83155028892818,89.95529345579419,-2.9244547761209105e-07
80.94681399740442,89.91015112282672,-3.233823133719227e-07
78.85592420628498,89.83292898806405,-3.5663207853531276e-07
76.56761245900474,89.70859730156953,-4.231348924577105e-07
74.09275481020806,89.51842818112345,-5.697831015893939e-07
71.44429509391377,89.24015765315752,-8.450961148653846e-07
68.63702956631415,88.84843836033404,-1.2762618633033185e-06
65.68730204642961,88.3155301858795,-1.847840962909686e-06
62.6126820880366,87.61213512228537,-2.4928580710792403e-06
59.431700994220414,86.70826977024974,-3.0996023987484023e-06
56.163701551488714,85.57408495305607,-3.5287137389872214e-06
52.82882553170243,84.18057576632789,-3.6320680685264506e-06
49.44812952300489,82.50016099267545,-3.268376108422899e-06
46.043792943142364,80.50713604920969,-2.315893414817083e-06
42.63936532130403,78.17801424500745,-6.86019628659551e-07
39.2599918688682,75.49176994073396,1.658281501448755e-06
35.93255353774676,72.42999118036643,4.677160418964377e-06
32.685656048694064,68.97694711539513,8.22160643210168e-06
29.549397051288246,65.11958651503022,1.199513803840091e-05
26.55482524578193,60.84751889374868,1.551097521357292e-05
23.732970277476888,56.153103530982996,1.805247883623906e-05
21.113254388193884,51.03190193287376,1.8675243449450818e-05
18.720986147302916,45.48395114044862,1.638004876625132e-05
16.57350370968722,39.51656778069829,1.0740026368694089e-05
14.6745084210652,33.14953904544054,3.182366548060145e-06
13.006585230680281,26.42310992330463,-2.2372451624619316e-06
11.523487765639764,19.407253599283756,-2.3200541683365827e-06
10.146580223056674,12.20703799521515,-1.7887435710406407e-06
8.771397637659032,4.956540321956808,-8.340061956602085e-06
7.285877241440486,-2.2010786407255525,-1.6801609334038403e-05
5.592439570283356,-9.138055308230943,-1.599809226249249e-05
3.62248458176878,-15.75727447505742,-5.737620025314527e-06
1.3389647131072753,-21.99352112716956,6.622142862511282e-06
-1.2689944702495874,-27.806209312977227,1.5630613340533728e-05
-4.19372999948959,-33.170740095514205,1.972938579797301e-05
-7.415724613598557,-38.07213065658141,1.94599321545752e-05
-10.90850761332276,-42.50146055969066,1.5967486515222618e-05
-14.641982456852233,-46.45443756479613,1.0396888967534323e-05
-18.584577796531732,-49.93125558926984,3.745519439490863e-06
-22.704516039531928,-52.93714929101423,-3.137009315423711e-06
-26.97036360253761,-55.48330506440106,-9.512769697295198e-06
-31.35094913193436,-57.587965168287425,-1.471644939243788e-05
-35.81472640238811,-59.277633478277714,-1.8153911671703327e-05
-40.32872474948819,-60.588241312950956,-1.9412612736857682e-05
-44.85737591786811,-61.56595293518839,-1.8534045523210807e-05
-49.36170129651672,-62.26703346819044,-1.6306046386915796e-05
-53.799469410722814,-62.756047142033545,-1.4143241259034767e-05
-58.12678456631056,-63.1019001918279,-1.3266648959842087e-05
-62.30101576157988,-63.372061040729776,-1.3799615338427884e-05
-66.2842404751093,-63.62633737556546,-1.4857942476353969e-05
-70.04600935612476,-63.912058791030034,-1.5530283182130233e-05
