theta1,theta2
14.674581577416822,33.14955335348882
13.813882795458092,29.82767592346868
13.00668049673738,26.42309658966403
12.246216884671835,22.94558249295802
11.523625233063434,19.4071900035194
10.828016927390367,15.822215955946218
10.146781717970452,12.206898557413695
9.466106765121618,8.578856349519684
8.771667406130808,4.956319786711735
8.049393596567592,1.357272109873086
7.286192874310522,-2.2013546055045423
6.47052495679818,-5.704300994493313
5.592767362867444,-9.138349095874347
4.645364877518562,-12.492435404955826
3.622797610710044,-15.757557373121056
2.521422901198083,-18.926546154103104
1.3392471283047096,-21.99377685216775
0.0756724939597164,-24.95487138988795
-1.2687509326743134,-27.806428937560163
-2.6925509587752092,-30.545801237279278
-4.193529635007409,-33.17091763428242
-5.7689291928708455,-35.680157116024084
-7.415569720766639,-38.07226097792599
-9.129962038577379,-40.34627855240065
-10.90839939442546,-42.50153867864193
-12.747031206553904,-44.53764052125852
-14.641921457423805,-46.45445852190962
-16.589093711411152,-48.252157446968575
-18.58456416895021,-49.93121455665493
-20.624363729408135,-51.492446815188984
-22.704549725027608,-52.9370417669432
-24.82120781087771,-54.266591210227276
-26.97044445226268,-55.48312709722486
-29.148370547274602,-56.589159159009064
-31.351076969468888,-57.58771357654068
-33.57460322788747,-58.48237157036975
-35.81490102772374,-59.27730605350171
-38.06779526563951,-59.97731350416479
-40.32894586361983,-60.58783704462225
-42.5938147317152,-61.11497551939578
-44.857642877290445,-61.565472416436585
-47.11544299845728,-61.946678132309685
-49.362012525644566,-62.26647975850993
-51.59197076013128,-62.53319460385183
-53.79982140822843,-62.75542717661165
-55.98003860216143,-62.9418940396759
-58.127170938221994,-63.10122606022207
-60.235954912330925,-63.24176197779556
-62.301427202677274,-63.371349737740665
-64.31902510650725,-63.49717187975471
-66.28466617504519,-63.625608340366625
-68.19480126898068,-63.76214500540115
-70.04643907265643,-63.911330444402324
-71.83714368351396,-64.07677777485479
-73.56500957155124,-64.26120451925739
-75.22861968014764,-64.46650107254048
-76.82699276420051,-64.69381790957134
-78.35952551478617,-64.94366250801781
-79.82593396475792,-65.21599859292961
-81.22619743676309,-65.51034222704128
-82.56050712100387,-65.82585111389497
-83.82922038802657,-66.16140504275917
-85.03282120043497,-66.51567660576629
-86.17188647925019,-66.88719216457103
-87.24705796901054,-67.27438358744013
-88.2590189841421,-67.67563158563416
-89.20847536299041,-68.08930161645222
-90.09613996789926,-68.5137733455619
-90.92272012148254,-68.9474646166777
-91.68890744071453,-69.38885079357514
-92.39536960844266,-69.83648023901596
-93.04274369832589,-70.28898659084985
-93.63163073957509,-70.74509839523354
-94.16259127020132,-71.20364656466633
-94.63614168126921,-71.66357004602497
-95.0527512003231,-72.12392001112829
-95.41283940059802,-72.58386281883953
-95.7167741549664,-73.04268194214532
-95.96486998098473,-73.49977900465626
-96.15738674704218,-73.95467402714195
-96.29452873055995,-74.40700494466465
-96.37644403842988,-74.85652641731876
-96.40322441830939,-75.30310792133108
-96.37490550779317,-75.74673107126316
-96.2914675875432,-76.18748608736392
-96.15283692472308,-76.62556728401137
-95.95888781493085,-77.06126741517583
-95.70944545439572,-77.49497067080866
-95.40428979930196,-77.92714407440184
-95.04316059504923,-78.35832698780443
-94.6257637836935,-78.78911838688033
-94.15177952046301,-79.22016153430478
-93.62087204662173,-79.65212564910368
-93.03270167107432,-80.0856841640821
-92.38693910024386,-80.52148918231735
-91.68328231636475,-80.96014180538509
-90.92147612833416,-81.40215812422672
-90.10133439588064,-81.84793085489889
-89.22276474728085,-82.29768688073752
-88.28579536725942,-82.75144133897548
-87.29060312691419,-83.20894936135609
-86.23754197598201,-83.66965712401189
-85.12717015115538,-84.13265443565797
-83.9602744239507,-84.59663161939768
-82.73788938725392,-85.05984381962679
-81.46130973979024,-85.52008597465844
-80.13209374353833,-85.97468143048398
-78.75205654143123,-86.42048646706982
-77.32325281932287,-86.853911877755
-75.8479492979747,-87.27096129399365
-74.32858860588632,-87.66728438357795
-72.76774703393393,-88.03824162778383
-71.16808933660711,-88.37897635252642
-69.53232400388005,-88.68448922823414
-67.86316224935482,-88.94971061958246
-66.16328340217913,-89.16956688531349
-64.4353085794867,-89.33903782432493
-62.68178360988099,-89.45320371462473
-60.905171322866586,-89.50728158623718
-59.10785261953789,-89.49665135244365
-57.29213524907198,-89.41687311400936
-55.460268938050326,-89.26369733523778
-53.61446542542572,-89.03306970555951
-51.756921997632574,-88.72113240915768
-49.889847245364855,-88.32422329739494
-48.015487931781195,-87.83887415681505
-46.13615603816056,-87.26180893760687
-44.25425521587272,-86.58994248680237
-42.372306011710634,-85.82038003701854
-40.492969343674595,-84.95041744517955
-38.61906778789721,-83.97754195982522
-36.7536042992061,-82.89943312024594
-34.899778033709744,-81.71396325437519
-33.06099697757587,-80.41919694384076
-31.24088711666292,-79.01338876357177
-29.443297909939606,-77.49497858115159
-27.672303856360987,-75.86258372081261
-25.93220196763757,-74.1149873638978
-24.227504971776312,-72.25112267982784
-22.562930062997648,-70.27005237096621
-20.943382964756037,-68.17094358865359
-19.373936957723917,-65.95303856182655
-17.859806306117367,-63.615621812366655
-16.406313141166482,-61.15798556958162
-15.018846258029077,-58.579396023546344
-13.702809356009407,-55.87906449300526
-12.463554878257504,-53.05612959233424
-11.306297639262366,-50.10965927363323
-10.235999718298922,-47.038685428449355
-9.257214561071807,-43.84228873964426
-8.373874006962302,-40.519757608034425
-7.588997724052913,-37.07085149804314
-6.904302088987675,-33.49620374914808
-6.319688681582123,-29.79789691111516
-5.832607893984985,-25.980226169508924
-5.437329759224258,-22.050620935869144
-5.124219260345191,-18.020610396737204
-4.879201172857061,-13.906601801341699
-4.683674121472906,-9.730136282032763
-4.5151245795283055,-5.517289257425603
-4.348532180490615,-1.2970819682958914
-4.158367659367134,2.9008548982198987
-3.920715534092888,7.048773646621775
-3.6149929038711757,11.12278724568681
-3.22492967077602,15.1039155034478
-2.738780651058488,18.978179643165994
-2.1489681394002105,22.73601606982434
-1.4514245776394057,26.371362983754583
-0.6448580144458655,29.88070355649094
0.2699251943442803,33.26222955746417
1.2905830902001354,36.51518794275037
2.413677562448867,39.639410957802305
3.635005430126934,42.63500195897787
4.949843562266425,45.5021415522278
6.353129832521929,48.24098111728539
7.839597922755419,50.85159683838602
9.403879601401707,53.33398378291635
11.040584194795823,55.68807509223133
12.744361870111213,57.91377567772241
14.509955046672355,60.01100305475026
16.33224061781349,61.979730321762304
18.206264546033836,63.820028025904186
20.12726965368728,65.5321029326738
22.09071695964056,67.11633267140593
24.092300624455735,68.57329595573833
26.127956399421507,69.90379864268135
28.193863382334385,71.10889633683051
30.28643883377525,72.18991459254433
32.402325782558734,73.14846802885846
34.538373140442296,73.98647985072336
36.69160805828788,74.7062033555043
38.859200305813125,75.31024697175674
41.038418576435596,75.80160418805757
43.22657885461087,76.18368932478235
45.42098539709378,76.46037940547569
47.61886554181528,76.63606131203916
49.81730053207885,76.71568188661291
52.01315585757093,76.70479665279763
54.20301621433443,76.6096104662428
56.3831318818618,76.43700096233809
58.54938472587124,76.19451370407107
60.69728258489696,75.89031726898281
62.82198981267813,75.5331080979029
64.91839868449976,75.13195949608458
66.98124116544655,74.69611677158042
69.0052338911521,74.23475004087078
70.98524265226875,73.75668549957125
72.91644814107345,73.27014215997244
74.79449379416268,72.78250196308642
76.61559971541642,72.300136178211
78.37663296226559,71.82830151342004
80.07513201414903,71.37110818383483
81.70928996324523,70.93155230358533
83.2779054645208,70.51159841352701
84.78031232440146,70.11229533232027
86.21629819543718,69.73390921885915
87.58602100207874,69.37606054253177
88.8899292988751,69.03785532471478
90.12869039235723,68.71800460381247
91.30312809802517,68.41492905913327
92.41417057675059,68.12684792130355
93.46280777386389,67.85185273421196
94.45005747156887,67.58796735691631
95.376938746316,67.33319597163755
96.24445159441721,67.08556094790782
97.0535615715363,66.84313232219876
97.80518842856526,66.6040504714211
98.50019788159364,66.36654334276373
99.13939580586292,66.12893938462472
99.72352428161483,65.88967712185675
100.25325903892077,65.6473121413664
100.72920794807433,65.40052210352222
101.15191028316084,65.14811026981579
101.52183655115599,64.88900793515447
101.83938872981206,64.6222760708232
102.10490079706246,64.34710641828094
102.31863946486779,64.06282222155801
102.48080505319075,63.768878744474755
102.5915324566595,63.46486368599247
102.6508921687125,63.15049758090182
102.65889133661656,62.82563425225535
102.6154748265104,62.49026136524754
102.52052628118066,62.14450111866049
102.37386915512651,61.78861109873223
102.17526771201464,61.42298531071779
101.9244279692038,61.04815539495488
101.6209985729137,60.664792026439976
101.2645715860972,60.27370648933079
100.85468316942054,59.87585240998447
100.3908141342628,59.47232762365812
99.8723903456739,59.06437614031296
99.29878295322756,58.65339016343083
98.66930842925309,58.24091210155861
97.98322839779864,57.8286364943741
97.23974924488641,57.41841175200146
96.43802151254341,57.01224157620267
95.57713909755628,56.612285892396386
94.65613830335818,56.220861068810656
93.67399683316616,55.840439128940424
92.62963286875176,55.47364556988253
91.5219044576766,55.12325527426702
90.3496095397138,54.792185837400694
89.11148708965162,54.48348741138996
87.80622004989249,54.20032787937895
86.4324409851029,53.94597179863168
84.98874172616023,53.72375107389683
83.47368869327656,53.537024729306005
81.88584610246976,53.38912443737303
80.22380985195285,53.28328166436356
78.4862555073025,53.222531481931696
76.67200434692305,53.2095874463187
74.78011168465936,53.24668177346379
72.80998130671257,53.33536585863041
70.7615083296688,53.47626875899107
68.6352494518528,53.668816522083375
66.43261380296245,53.910924090204254
64.15605918055479,54.19868420227388
61.809268230250076,54.52609295668654
59.39726966128584,54.88486563840531
56.926465401503556,55.264402398548015
54.40453093920567,55.65195370540106
51.84017600326018,56.033005742342716
49.24278343531301,56.391860158786734
46.62197586198316,56.71233504032355
43.987179597665445,56.9784836890991
41.3472542856502,57.17522786133339
38.710236090132646,57.288831370652815
36.083211646312,57.30718429614298
33.472311736179066,57.219909578261586
30.882795892861477,57.01833053557079
28.31919343826442,56.695347159876604
25.785469728631178,56.245265181047316
23.285194066640727,55.66361131517222
20.821694138382494,54.94695618768589
18.39818888134091,54.092756236338275
16.01789670416536,53.09921854115503
13.684119093697543,51.96518790190335
11.400301315876346,50.69005299560001
9.17007263141826,49.27366743292512
6.997268595056573,47.71628144409098
4.885937854613024,46.01848037450711
2.8403355699966593,44.181126915565116
0.8649052068800344,42.20530490200159
-1.0357499577648142,40.09226351679598
-2.8569047736730955,37.8433618530403
-4.593759373377794,35.46001502600627
-6.241496140977449,32.94364447998182
-7.795348202800409,30.295636901019904
-9.250682666047053,27.517318369772564
-10.603103857715745,24.60995322962742
-11.848584420422707,21.574780742549436
-12.983635247666946,18.413106963686342
