theta1,theta2
-5.83259653925312,-25.98012447390437
-5.437317999987114,-22.050520582218066
-5.124206674096692,-18.020511845877657
-4.879187282190307,-13.906505587129105
-4.683658418814899,-9.730042984946598
-4.515106564811699,-5.517199461481828
-4.348511405423866,-1.2969962090466687
-4.158343767505955,2.9009361809379373
-3.9206882862930996,7.048850137949226
-3.614962184325271,11.12285876105998
-3.2248954760336117,15.103981973326281
-2.7387430688973065,18.978241086172215
-2.148927324769007,22.736072563542532
-1.4513807306493,26.371414639347943
-0.6448113626821106,29.880750499715965
0.2699744088670687,33.26227191615737
1.2906346201029133,36.515225839654775
2.4137311610339656,39.63944450729431
3.6350608553037747,42.63503126639746
4.949900579064221,45.502166714806584
6.3531882146924294,48.241002225957175
7.839657453798957,50.851613979999705
9.4039400752241,53.33399704254317
11.04064541611693,55.6880845553785
12.744423654689374,57.9137814323458
14.5100172213738,60.011005193013006
16.332303020535367,61.979728941522296
18.20632702547875,63.820023231937576
20.12733206898249,65.53209483765845
22.09077917979408,67.11632139669986
24.092362527642408,68.57328163199578
26.12801787209442,69.90378141035349
28.193924318159404,71.10887634659966
30.286499132389224,72.18989200573975
32.402385348155406,73.14844301789815
34.53843188019383,73.98645259961908
36.69166588061607,74.70617406045618
38.859257118532675,75.31021584184667
41.03847428480483,75.80157144602784
43.22663335934325,76.18365520785363
45.42103859240852,76.46034416611819
47.618917313637155,76.63602521855992
49.817350756534886,76.7156452233656
52.01320439997011,76.7047597197643
54.20306292884793,76.60957357769293
56.38317661213144,76.43696444425834
58.54942730674635,76.19447789010344
60.6973228454173,75.89028249473151
62.822027580276576,75.5330746936814
64.91843379020227,75.13192777845627
66.98127344963483,74.69608703434731
69.00526320928348,74.23472254640065
70.98526887987906,73.75666047143953
72.91647117746001,73.27011977777583
74.79451356434986,72.78248235997512
76.61561617029024,72.30011944126477
78.37664607704754,71.82828768657726
80.07514178559074,71.3710972727773
81.7092964060257,70.93154428183838
83.27790860732169,70.51159322904884
84.78031220605276,70.11229291398149
86.21629486140759,69.73390948239101
87.58601450146641,69.3760633957007
88.88991968195545,69.03786067162926
90.1286777086757,68.71801234837478
91.30311239498026,68.41493910771287
92.41415189859269,68.12686018474142
93.46278616103118,67.85186712927353
94.45003296028615,67.58798380730515
95.37691136839159,67.33321440866938
96.2444213771843,67.08558131092829
97.05352853789596,66.84315455881303
97.80515259709762,66.604074537589
98.50015926671257,66.36656920280178
99.13935441799535,66.12896701114671
99.72348012739154,65.88970649567608
100.25321212136927,65.64734325137763
100.72915826680735,65.4005549465741
101.15185783455604,65.14814485058454
101.52178132852428,64.88904426602329
101.83933072355262,64.62231417177217
102.10483999480363,64.34714631678938
102.31857585159311,64.06286395252094
102.48073861135008,63.76892235013369
102.59146316626479,63.46490921588043
102.65082000741816,63.150545091801845
102.6588162797843,62.8256838081713
102.6153968472581,62.4903130373858
102.52044535041502,62.14455498542072
102.37378524155883,61.78866724570488
102.17518078215937,61.423043830686034
101.92433798735897,61.04821638789766
101.6209055011228,60.66485559953295
101.26447538409197,60.27377275694074
100.85458379454415,59.87592149365221
100.3907115413737,59.47239965206395
99.87228448703083,59.064451249217036
99.29867377835697,58.65346849557939
98.66919588480211,58.240993806544544
97.98311242737734,57.82872172843752
97.2396297889065,57.418500677751844
96.43789850806316,57.01233436223931
95.5770124781455,56.61238271279725
94.65600799900362,56.2209621024509
93.6738627702444,55.840544558590835
92.62949497010732,55.473755581023255
91.52176264285579,55.12337005353303
90.34946372542205,54.79230557055108
89.11133719052368,54.48361228066208
87.8060659796929,54.20045806004954
86.43228265850807,53.946107454559424
84.9885790613151,53.72389235176434
83.47352161536615,53.53717175121525
81.88567454859684,53.389277291382314
80.22363377766003,53.283440392496935
78.48607489510677,53.22269606516392
76.67181921722022,53.209757786076416
74.77992210926608,53.24685766934064
72.80978742509473,53.33554698236811
70.76131036748988,53.47645462542046
68.63504774081007,53.66900645873047
66.4324087999503,53.91111720865333
64.15585148310618,54.19887937598636
61.80905858424797,54.52628881136894
59.39705895660706,54.88506056146601
56.926254652149744,55.26459457281385
54.40432124695439,55.652141168554465
51.83996850763889,56.03318646792349
49.242579256604934,56.392032148769225
46.62177604638276,56.71249641562575
43.98698507341065,56.97863276467669
41.34706583601715,57.17536319672152
38.710054344887816,57.28895179307117
36.08303708930163,57.30728889906579
33.472144724378495,57.21999770192682
30.88263668163638,57.018401736885274
28.319042208326863,56.695401178236175
25.785326611495254,56.245301904747635
23.28505916672821,55.66363075116194
20.821567550997138,54.94695843586005
18.39807070644118,54.09274146851711
16.017787056264858,53.0991869842906
13.684018108397842,51.965139824783854
11.400209153574474,50.6899886982616
9.169989478694,49.27358723804052
6.997194664175367,47.71618568972305
4.8858733815009225,46.01836940775736
2.840280810965041,44.181001086794346
0.8648604343013995,42.20516455944492
-1.0357844607057036,40.092109001539185
-2.856928719112308,37.84319349447232
-4.593772475847981,35.45983313802332
-6.2414981256082225,32.943449358403626
-7.795338814984116,30.295428822901634
-9.250661683114915,27.51709759557436
-10.603071103425435,24.609720009549225
-11.848539783361462,21.574535328755253
-12.983578704992837,18.412849630597893
-14.005460177898655,15.126205100007333
-14.912510742599274,11.7166529185502
-15.704490196168171,8.187156487234917
-16.383065790079215,4.542143804103221
-16.952370972674768,0.788203661731459
-17.41959983207135,-3.0651287568982197
-17.795530347168146,-7.004628169622103
-18.094804939883403,-11.012897077415083
-18.335762577514643,-15.068416702506081
-18.5396659165364,-19.146346219968915
-18.72932902674423,-23.220079707712227
-18.927377734151996,-27.263275963863332
-19.154538782973976,-31.251860437291043
-19.428343205992196,-35.16551081096305
-19.76245069655878,-38.98836943136355
-20.166575519033504,-42.70901805247117
-20.64684273093058,-46.319942731701715
-21.206365342113216,-49.8167596843723
-21.845873821231606,-53.19741432373742
-22.564295832937063,-56.46147646525244
-23.359241443136813,-59.609579918542686
-24.227385872462463,-62.64300821127007
-25.164760419036423,-65.56340606454174
-26.16696871766612,-68.37258960421951
-27.229345681084414,-71.07242955088425
-28.347073962911608,-73.66478595856294
-29.51526958885295,-76.15147794481578
-30.729045431842465,-78.53427618938547
-31.983558775107102,-80.8149094519526
-33.274047350570974,-82.99507899018333
-34.59585688380821,-85.07647668764233
-35.94446221694621,-87.06080408787302
-37.31548341903019,-88.94979051710128
-38.70469784785289,-90.7452091746477
-40.108048834973154,-92.4488905597411
-41.52165147947836,-94.06273294533554
-42.94179592166398,-95.588709845661
-44.36494840062469,-97.02887458400284
-45.78775036243234,-98.38536217131268
-47.20701586608173,-99.66038876944158
-48.6197275245364,-100.85624904573925
-50.02303121261107,-101.97531173642021
-51.414229768679874,-103.02001373050989
-52.790775911300216,-103.99285296908317
-54.15026458375863,-104.89638042966419
-55.49042492889459,-105.73319143610907
-56.80911208336845,-106.50591650249919
-58.10429896508336,-107.21721188749866
-59.374068210143534,-107.86975000482516
-60.61660439697394,-108.46620980712045
-61.83018667547816,-109.00926723542526
-63.01318189878218,-109.50158580520134
-64.16403833457626,-109.9458073826618
-65.28128001266762,-110.3445431920913
-66.36350174540966,-110.700365085659
-67.40936483848718,-111.01579710156277
-68.41759349141397,-111.29330733364833
-69.38697187034894,-111.53530013525658
-70.31634182077137,-111.7441086812169
-71.20460117448178,-111.92198791384094
-72.05070259460325,-112.0711079007039
-72.85365289399687,-112.19354763321746
-73.6125127569646,-112.29128929489227
-74.32639679139277,-112.36621302630856
-74.99447383858578,-112.42009220989274
