theta_1,theta_2
90.0,90.0
90.0,90.0
89.94379284029768,90.0
89.831378520893,90.0
89.66275733928924,89.99999945908485
89.43793118865793,89.99999502362711
89.15690599149862,89.99997630886111
88.8196952667888,89.99991973703084
88.42632482447401,89.99978044205056
87.97683857312904,89.99948226372486
87.4713054134462,89.99890587619208
86.90982717071851,89.9978751273355
86.29254749276524,89.99614171003786
85.61966160527686,89.99336834332284
84.89142677443489,89.9891107116776
84.10817327785006,89.98279849291683
83.270315631442,89.97371589584645
82.37836376527194,89.96098222367154
81.43293379038796,89.94353307028861
80.43475795764746,89.92010283489068
79.384693385401,89.88920929466417
78.28372913326953,89.84914099415009
77.13299123062977,89.7979481824046
75.93374533534079,89.73343794763106
74.6873968017418,89.65317406057726
73.39548807350691,89.55448184642687
72.05969347795701,89.43445817139119
70.68181167058343,89.28998637308068
69.263756145154,89.11775570664484
67.80754436806278,88.91428464736458
66.31528619940569,88.67594720876758
64.78917231577871,88.39900132153987
63.23146334544415,88.07961828187963
61.64448036682043,87.71391231770332
60.03059731428715,87.2979694269162
58.39223569398172,86.8278747961375
56.73186185197423,86.29973828920139
55.051986873261065,85.7097176804684
53.35516903557268,85.05403947927675
51.64401860667993,84.32901733442714
49.92120466331119,83.53106811293037
48.18946352576987,82.65672581255015
46.45160834362396,81.70265349495305
44.71053933109256,80.66565342110681
42.96925413151011,79.5426755407939
41.23085778367173,78.33082444275897
39.498571764250414,77.02736482051755
37.77574158547038,75.62972546063385
36.065842431745054,74.1355017246174
34.37248231896766,72.54245648182736
32.69940225103538,70.84851946866557
31.050472824375614,69.05178510962278
29.429686685309672,67.15050895085139
27.841146167018785,65.14310304186657
26.28904530922383,63.02813087428308
24.777645276823737,60.80430287134253
23.31124192139994,58.47047394702411
21.894123845120244,56.0256453530464
20.53051880128376,53.46897394431686
19.224525573655583,50.79979315493183
17.980027606498552,48.01765140901166
16.800583634544246,45.122375371643855
15.689289490507772,42.11416725766806
14.648604396132194,38.99374705733687
13.68013486800323,35.76255138116241
12.784370767600405,32.422999536721775
11.960372367945434,28.978832611816
11.205416436215549,25.435520260624557
10.51462510872268,21.80070995574045
9.880624398572342,18.084663575291522
9.293306588452781,14.300589876912447
8.739793161275173,10.464750705178481
8.204695720234861,6.596215432058475
7.670733370794103,2.716186213290778
7.119680903526077,-1.153076544194106
6.533515898128343,-4.989563817883207
5.895554552713725,-8.7727997873333
5.191362647411086,-12.484832547942974
4.409305341473004,-16.110773574380836
3.540714557770464,-19.638874409490395
2.579747766380929,-23.060247601375153
1.5230546751460932,-26.368387208974486
0.3693624843970841,-29.558629966985833
-0.8809409817760894,-32.627653205238346
-2.226181964331271,-35.573058475986564
-3.663716030814818,-38.39305490690651
-5.1901831847452895,-41.08623596695633
-6.801710076630729,-43.651434312433985
-8.494069092057517,-46.08763729218625
