theta_1,theta_2
90.0,90.00789999999999
89.9718964225078,90.0078999958455
89.88758579609504,90.00789979830004
89.74706900689347,90.00789787850435
89.55034942468772,90.00788844337335
89.29743574075701,90.00785657061232
88.98834593539783,90.00777140678417
88.62311236398591,90.00757744690198
88.20178793920147,90.00718393266216
87.72445336995588,90.00645243480969
87.19122539365524,90.0051827248902
86.6022659071169,90.00309709388576
85.957791862685,89.99982334017432
85.25808575063742,89.99487672589237
84.50350643864637,89.98764128650123
83.69450008690718,89.97735096861497
82.83161080798556,89.96307115928522
81.91549069912608,89.94368124728568
80.94690884831277,89.91785891328095
79.92675891065326,89.88406687028926
78.85606487487226,89.8405427585434
77.7359846951933,89.78529283226807
76.5678115529363,89.7160899569555
75.35297263198566,89.63047626729019
74.09302543558655,89.5257706275033
72.78965182719082,89.39908080356592
71.44465013073163,89.24732002097008
70.0599257600771,89.06722736564721
68.63748094904878,88.85539131020604
67.17940421136544,88.60827552975933
65.68786016849319,88.32224612041733
64.16508034294145,87.9935993497347
62.61335543096719,87.61858914443862
61.03502945219298,87.19345364259647
59.43249603697149,86.71444028717951
57.808196968463335,86.1778290971189
56.16462295693136,85.57995390364154
54.50431649764636,84.91722147084673
52.82987655679907,84.18612852174793
51.14396474452317,83.38327676073492
49.44931257048009,82.50538602120893
47.748729333395275,81.54930567691966
46.04511016818496,80.51202444349937
44.341443758981995,79.3906786704696
42.640819219382955,78.1825591919165
40.94643163855239,76.8851167747252
39.261585789407,75.49596618548539
37.58969748876527,74.01288889987772
35.934292084374626,72.43383451090192
34.298999514448845,70.75692096490896
32.68754533462985,68.98043387856792
31.103737026039532,67.1028253790143
29.551444774869484,65.12271317927588
28.034575734892577,63.03888097013462
26.55704053359042,60.850281698736055
25.122710444365847,58.55604593510719
23.735363209551092,56.155498318254445
22.398614961556916,53.64818602863231
21.115835078958074,51.03392432744984
19.890040208138323,48.312865346831494
18.72376324645903,45.48559730588427
17.61889313011757,42.55328177641742
16.57648231402306,39.51783586229228
15.596521632822357,36.382163177274926
14.677687749180595,33.15043099399962
13.81707751929801,29.828379593950597
13.009956529730632,26.423633210127928
12.249564217588416,22.945961799911398
11.527030891968588,19.407424841884335
10.83146500291323,15.822322313181068
10.150253683854743,12.20689525932175
9.469582094153184,8.57876440352696
8.775124419535288,4.95616144910651
8.052810420121725,1.3570698328934674
7.289548349185554,-2.2015791597712164
6.473799376268472,-5.704527717418329
5.595942963593318,-9.138559891412358
4.648426078505419,-12.492614345199195
3.6257310406996766,-15.757690609956503
2.5242172770562146,-18.92662167165159
1.341893046852172,-21.99378414153065
0.07816218719873473,-24.954801109294817
-1.2664238450825256,-27.80627259882274
-2.690391700275665,-30.545550940274037
-4.191542477178091,-33.1705658574436
-5.767117632374633,-35.67969656236024
-7.413936629473107,-38.07168447165404
-9.128509789591025,-40.34557897957294
-10.907129966978195,-42.50070896503567
-12.745946272253033,-44.536673641551644
-14.641022449565193,-46.45334753531907
-16.588381878191207,-48.25089555580853
-18.584040610561978,-49.92979518553897
-20.62402941825426,-51.490863709766245
-22.70440550766999,-52.93528911206192
-24.82125438991339,-54.26466376818885
-26.97068234612416,-55.48102036723256
-29.148800026081968,-56.58686955889583
-31.351697965620215,-57.58523864721067
-33.5754152211963,-58.479710201911296
-35.81590290673319,-59.27445872943497
-38.06898516935713,-59.974282556655574
-40.33032101131214,-60.584626908773025
-42.59537125236323,-61.11159296926305
-44.85937565433352,-61.56192675998783
-47.11734554870333,-61.94298133836892
-49.364076932589334,-62.26264648746034
-51.594187680259445,-62.52924211709645
-53.802180163389956,-62.75137510858583
-55.98252736190034,-62.93776403034144
-58.12977698422232,-63.097041263530045
-60.238664965260384,-63.23754647910895
-62.304227782451704,-63.36712792654338
-64.32190289269077,-63.49296782977978
-66.28760833571822,-63.62144524620095
-68.19779573323966,-63.758044713806115
-70.04947473190572,-63.90731310311949
-71.84021051731933,-64.07286160535666
-73.56809870286025,-64.2574057060081
-75.23172337087003,-64.46283375174917
-76.8301043652015,-64.69029423557393
-78.36263938474168,-64.9402927746262
-79.82904537087667,-65.21279138911667
-81.2293024479576,-65.50730460989965
-82.56360250138114,-65.8229887858742
-83.83230349603006,-66.1587225240498
-85.0358898968423,-66.51317739598366
-86.17493904559457,-66.88487889046436
-87.25009303682639,-67.27225813523106
-88.26203547466461,-67.67369521787342
-89.21147243647772,-68.08755507409573
-90.09911698150961,-68.51221693643234
-90.92567659455759,-68.94609829169647
-91.69184302633772,-69.38767421220756
-92.39828407021831,-69.83549282532854
-93.04563689143106,-70.28818758147736
-93.63450259525612,-70.74448688042428
-94.16544178300528,-71.2032215234349
-94.63897089841349,-71.66333037630532
-95.05555921270879,-72.12386455569043
-95.41562633506436,-72.58399038761637
-95.71954016746403,-73.04299133150958
-95.96761525041524,-73.50026901409326
-96.16011146957396,-73.95534347367887
-96.29723311428366,-74.40785267534011
-96.37912829826627,-74.85755131990607
-96.40588877112653,-75.30430893346157
-96.3775501677328,-75.74810718803197
-96.2940927615968,-76.18903636743588
-96.15544280864025,-76.62729085417996
-95.9614745895848,-77.0631634732597
-95.71201328277567,-77.49703848669924
-95.40683882434892,-77.92938298900074
-95.04569093859905,-78.3607364095129
-94.62827554683933,-78.79169778522616
-94.15427278569284,-79.2229104302212
-93.62334688212161,-79.6550436013172
-93.03515813760646,-80.08877075103263
-92.38937726099905,-80.52474397904224
-91.6857022501381,-80.96356435486726
-90.92387794626434,-81.40574790286207
-90.1037182618079,-81.85168723200456
-89.22513090150328,-82.30160907242502
-88.2881441530886,-82.75552835726548
-87.2929350189565,-83.21319996010853
-86.23985760852477,-83.67406974405172
-85.12947034447112,-84.13722715231349
-83.96256020583542,-84.60136209641188
-82.74016200679806,-85.06472927388694
-81.46357067036872,-85.52512315623396
-80.1343446724028,-85.97986662191282
