theta_1,theta_2
90.0,90.00619999999999
89.97189642230329,90.00619999625452
89.88758579282302,90.00619980484407
89.7470689903295,90.00619791163255
89.55034937234187,90.00618854806746
89.29743561298235,90.0061568261758
88.98834567052978,90.00607193658055
88.6231118735449,90.00587842798961
88.20178710320809,90.00548560524432
87.72445203242825,90.00475511138582
87.19122335838085,90.0034867989564
86.60226293381517,90.00140304799271
85.95778766370023,89.99813175311164
85.25807998832242,89.99318827873205
84.50349872361244,89.98595676720555
83.69448997732222,89.97567127489923
82.83159781009621,89.96139729942966
81.91547426915862,89.94201433861812
80.94688839586806,89.91620017810638
79.9267338036533,89.88241762912598
78.85603444604098,89.83890442063704
77.73594824996466,89.78366688348794
76.56776837858746,89.71447794532489
75.3529220076981,89.6288797865494
74.09296664305532,89.52419129923692
72.78958416134083,89.39752025852911
71.44457291006863,89.24577988031035
70.05983833620496,89.06570922272758
68.63738271492397,88.85389671369428
67.17929460793219,88.60680596855659
65.6877386894393,88.32080301087086
64.16494653742603,87.99218402542722
62.61320890428615,87.61720284868684
61.034869864455054,87.19209752364043
59.43232309994877,86.71311539591362
57.80801044085013,86.17653638711504
56.16442263829174,85.57869423314733
54.504102221353875,84.91599560640843
52.82964818227566,84.18493714310334
51.143722149071486,83.38212046664223
49.449055640979765,82.50426533591533
47.74845795810295,81.54822105702185
46.044824228845016,80.51097628500241
44.34114312342241,79.38966731590236
42.64050373474132,78.18158493741117
40.946101125252696,76.88417987700863
39.26124003598951,75.49506686876
37.58933624766033,74.01202736258881
35.93391506870833,72.43301093239124
34.298606395974375,70.75613551194368
32.687135742895826,68.97968671170239
31.10331054893778,67.10211665868957
29.551000960753253,65.12204307148197
28.03411409652673,63.03824965134704
26.556560554293917,60.849689359683545
25.122211586839786,58.5554927827229
23.734844928058926,56.154984574898364
22.398076718340103,53.647711927342115
21.115276366025228,51.03349010158333
19.889460575837308,48.312471212027766
18.723162340477785,45.48524343185352
17.618270738658115,42.55296824579544
16.575838426678494,39.5175626138902
15.595856511891178,36.38192993186725
14.677002012433974,33.150237162789495
13.816372230249332,29.828224173493503
13.009233287164959,26.42351467295234
12.248825231037538,22.945877996720665
11.526279025514992,19.40737293710668
10.830703768727327,15.822298777439174
10.149487171862843,12.206895936597052
9.468814836051726,8.578784656154136
8.7743612012638,4.956196363705966
8.052056070781628,1.3571144528228332
7.288807539958431,-2.2015296167233322
6.473076457781614,-5.704477690529401
5.595241857468046,-9.138513375677823
4.647750224608019,-12.492574856999962
3.6250833910958673,-15.757661206566343
2.52360032285708,-18.92660500588968
1.3413088641662303,-21.993782533563
0.0776124911638119,-24.954816621656786
-1.2669376456608357,-27.806307105633703
-2.6908684519844392,-30.545606185849465
-4.191981236738786,-33.17064350254289
-5.767517627581721,-35.67979821817781
-7.414297226054893,-38.07181172263674
-9.128830463388638,-40.34573339652602
-10.907410280789938,-42.50089211000291
-12.746185856794293,-44.536887065788775
-14.641220988166662,-46.45359277142521
-16.588539095051527,-48.25117410479748
-18.58415626255827,-49.93010849935263
-20.624103290480072,-51.491213169475046
-22.704437413005554,-52.93567600177556
-24.82124417302801,-54.26508924453078
-26.970629892352918,-55.481485424134256
-29.148705275590185,-56.58737498747138
-31.351560933145826,-57.585784990615636
-33.57523602141228,-58.48029770541614
-35.81568178487006,-59.27508728649414
-38.0687225361483,-59.974951652555454
-40.330017480574945,-60.585335564484566
-42.59502767865355,-61.11233968933079
-44.858993167223026,-61.562709489487595
-47.116925579510486,-61.94379743488555
-49.36362122909447,-62.26349271431927
-51.59369830530335,-62.53011466336839
-53.801659474465964,-62.75226963944127
-55.98197797088551,-62.93867576820981
-58.129201698979706,-63.097965096640785
-60.238066717468485,-63.23847709012736
-62.30360954806042,-63.3680599310704
-64.32126761235361,-63.493895913204554
-66.28695884219192,-63.62236428807568
-68.19713469123339,-63.758949891302905
-70.04880459365394,-63.90819996854501
-71.83953349481045,-64.07372613630179
-73.56741675565817,-64.25824432977655
-75.23103820710041,-64.46364334782413
-76.82941745259978,-64.69107212095062
-78.36195196857244,-64.9410366770134
-79.82835849585385,-65.21349941256192
-81.22861698182969,-65.50797519660397
-82.56291915844419,-65.82362067706475
-83.83162285939203,-66.15931472192548
-85.03521243873168,-66.51372912802415
-86.17426514536761,-66.88538957682462
-87.24942299658454,-67.27272735952944
-88.26136953256419,-67.67412270139748
-89.21081077791538,-68.08794065327086
-90.09845974841953,-68.51256054329565
-90.92502389307376,-68.94639993707015
-91.69119493307127,-69.38793397125336
-92.39764063738242,-69.83571082517426
-93.04499815102294,-70.28836399062911
-93.63386856247857,-70.74462189970654
-94.1648124590848,-71.20331537823122
-94.63834627294642,-71.66338330990244
-95.05493926564475,-72.1238768235576
-95.41501103841574,-72.58396225247682
-95.71892948681281,-73.04292305908541
-95.96700914627279,-73.50016086942482
-96.15950989863572,-73.9551957179395
-96.29663603060898,-74.40766556308333
-96.37853565440261,-74.8573250966982
-96.4053005191874,-75.30404383386745
-96.37696626042973,-75.74780343393554
-96.29351315321611,-76.1886941666919
-96.15486745594669,-76.62691039960697
-95.96090345262421,-77.06274494199991
-95.71144632553943,-77.49658203998642
-95.40627601525226,-77.92888877239389
-95.04513225071503,-78.36020455366999
-94.6277209578196,-78.79112840730967
-94.15372227729672,-79.2223036360426
-93.6228004392671,-79.65439948834006
-93.03461574685312,-80.0880894123618
-92.38883890837435,-80.52402550852449
-91.68516791823038,-80.9628088534137
-90.92334761052916,-81.40495548606853
-90.10319188607583,-81.8508580390871
-89.2246084327376,-82.3007432763993
-88.28762551552506,-82.7546261761763
-87.29242010786241,-83.21226166896233
-86.23934628393465,-83.6730956869266
-85.12896242538207,-84.13621775393689
-83.96205546545426,-84.60031787233176
-82.7396601695028,-85.06365083825538
-81.46307141104934,-85.5240112262123
-80.13384761875905,-85.97872201782876
-78.75380408232857,-86.42463914527009
-77.32499560225877,-86.85817308844925
-75.8496889704689,-87.27532721652352
-74.33032683380407,-87.67175100001735
-72.76948544243673,-88.04280479747588
-71.16982944861013,-88.38363189074066
-69.53406717992054,-88.68923298327383
-67.86490963243781,-88.95453854311927
-66.16503587042386,-89.17447509177416
-64.43706670841863,-89.34402263656551
-62.683547645185094,-89.45826169463916
-60.90694116349811,-89.51240955102527
-59.10962781038087,-89.50184637625465
-57.293914981888214,-89.42213251891317
-55.46205205925904,-89.26901867236441
-53.616250449255176,-89.03845072944631
-51.758707123327646,-88.72657104753233
-49.89163037736184,-88.32971761848141
-48.01726670202132,-87.84442233594712
-46.13792782997158,-87.26740922461885
-44.25601718907931,-86.59559317537048
-42.374055128826534,-85.82607943686389
-40.49470239717894,-84.95616385781871
-38.62078142870466,-83.98333365836206
-36.75529506651036,-82.90526833353125
-34.90144238641968,-81.7198401557055
-33.06263132758089,-80.42511364421483
-31.24248786416858,-79.01934330935966
-29.444861481117023,-77.50096895584466
-27.673826743565815,-75.86860785030301
-25.933680772491936,-74.12104312446745
-24.228936451486973,-72.25720790769752
-22.56431118042836,-70.27616487184233
-20.944710943008342,-68.17708114519085
-19.375209340341858,-65.95919893626177
-17.861021024558415,-63.621802740725805
-16.407468591921855,-61.16418474275644
-15.019941392784428,-58.58561104909936
-13.703843789563154,-55.88529282970764
-12.464529020587463,-53.06236844709529
-11.307212860114047,-50.11590544763743
-10.236858554766059,-47.0449350961544
-9.258020980326954,-43.84853714140157
-8.374633736418653,-40.525998635884505
-7.589718657556367,-37.07707715758902
-6.9049947662812565,-33.50240349346399
-6.320366813545229,-29.804056873238984
-5.833288861757748,-25.986328377238692
-5.438034949411636,-22.056642680165904
-5.124974024379241,-18.02652402715026
-4.880034158488379,-13.912375283878072
-4.684615789093855,-9.7357347821791
-4.516204941813399,-5.5226777253955905
-4.349778145522989,-1.3022282598113328
-4.159800625190118,2.895977185430711
-3.9223498602510416,7.0441834155717835
-3.6168355482104237,11.118495579839715
-3.2269808477127637,15.099926582525878
-2.741035099286321,18.974492354832112
-2.151416565579747,22.732625762154555
-1.4540549772946003,26.368262988738433
-0.647656733626655,29.877886329661468
0.2669726760724204,33.259687429083144
1.2874916156330816,36.51291354848912
2.410461933835263,39.63739743530924
3.631680173515255,42.63324298817076
4.9464227766678555,45.50063129966615
6.349627093694002,48.239714127557775
7.836026221601267,50.850567901339325
9.400251304527464,53.333187795207806
11.0369110199728,55.687506924494805
12.740654872788335,57.91343005378482
14.50622461579197,60.010874446092174
16.3284964804104,61.97981285824999
18.2025157807451,63.820315422359165
20.12352471358184,65.53258842985089
22.086983704839234,67.11700898927327
24.088586364949972,68.57415525650372
26.124267948375703,69.90483250074202
28.19020712000416,71.11009571271411
30.282820782004446,72.19126980795701
32.398751689622244,73.14996874017494
34.53484857575162,73.98811501867554
36.68813851612538,74.7079612095
38.85579131674401,75.3121149682555
41.03507582428516,75.80356896383412
43.22330829580298,76.18573664780568
45.41779337765584,76.46249412859217
47.615758905443144,76.63822733766426
49.81428671040762,76.7178821540539
52.0102429314771,76.7070131632413
54.200212933219795,76.61182436308957
56.38044762724757,76.43919268528566
58.54682940728988,76.19666323270663
60.69486646099385,75.89240446428005
62.81972323909574,75.53511313736303
64.91629180187788,75.13386338132898
66.97930355359969,74.69790186915534
69.0034742257542,74.23640060281865
70.98366840451602,73.75818810518732
72.91506535651445,73.27148602728099
74.7933069745856,72.78367909719012
76.6146118106214,72.30114134896347
78.37584546152178,71.82913207984544
80.0745451144628,71.37176380112555
81.70890278551262,70.93203455711827
83.27771628903733,70.51191042345863
84.7803188221694,70.11244136474177
86.21649763879977,69.7338943288103
87.5864104453448,69.3758902634324
88.89050572550092,69.03753540985512
90.12945082943496,68.71754081917317
91.30406970134682,68.41432702290756
92.415290690909,68.12611298358087
93.46410397212476,67.85098988975766
94.45152757996377,67.58698118431101
95.37858085584142,67.33209059281303
96.24626406456271,67.08434000305802
97.05554302771523,66.84179895598751
97.8073377554418,66.60260732726472
98.50251421381108,66.36499256269818
99.14187851728327,66.12728261286912
99.72617297387018,65.88791551066493
100.25607352984066,65.64544635813324
100.73218826037679,65.39855233840048
101.1550566336658,65.14603624331762
101.52514934068763,64.8868289053771
101.8428685338931,64.61999084006098
102.10854835746046,64.34471333887772
102.32245568202705,64.06031920092222
102.48479097956756,63.76626324923046
102.59568929097186,63.46213274527863
102.65522125111374,63.147647788862635
102.66339414480548,62.82266176978919
102.62015297279484,62.48716192110399
102.52538151051844,62.141270009995324
102.37890334417293,61.78524319125102
102.18048286921179,61.419475038561906
101.92982623594929,61.044496760509745
101.62658222584642,60.66097860027789
101.27034304053215,60.2697314105396
100.86064498395278,59.87170838718312
100.39696901653883,59.46800693706384
99.8787411592952,59.05987064530528
99.3053327256999,58.64869129616329
98.67606036082333,58.236010887305056
97.99018587091831,57.82352355947387
97.24691583390187,57.41307734049971
96.44540099302168,57.00667557258502
95.58473545439875,56.606477852213274
94.66395573651181,56.21480025950502
93.6820397592856,55.83411458386826
92.63790591656533,55.467046159395466
91.53041245402252,55.11636979886429
90.35835748219144,54.78500314942116
89.1204801005214,54.47599657357525
87.81546330419867,54.192518370970284
86.44193960393518,53.937833782520904
84.99850062349208,53.715275741746126
83.48371236196502,53.52820474538052
81.89613832195121,53.37995450579649
80.23437329733798,53.27375924794762
78.49709123777315,53.212657702402986
76.6831111519754,53.19936819355349
74.79148527205312,53.23612904194393
72.82161332913415,53.32449930815024
70.77338527193136,53.46511745817275
68.64735144037954,53.65742077269723
66.44491345497896,53.89933714707889
64.16852067574281,54.18697360714364
61.821846845292654,54.514341120445096
59.409912027776194,54.87316927906609
56.93911069447398,55.252870523829976
54.417113055133754,55.6407040510433
51.85262656028461,56.02215991418633
49.255035193679554,56.38153807711442
46.633966017604216,56.70264950513286
43.99885241844743,56.969535868151745
41.358562736383426,57.16710425076986
38.721142349263104,57.281602402698844
36.09368665320607,57.300904420703375
