theta_1,theta_2
90.0,89.9973
89.97189642123267,89.99729999839577
89.88758577569313,89.99729983910393
89.74706890361209,89.9972980850686
89.55034909829499,89.99728909617339
89.2974349440405,89.99725816413176
88.98834428385588,89.99717471023858
88.62310930591224,89.99698356431763
88.20178272647071,89.99659436180556
87.72444502994394,89.99586912425485
87.19121270287002,89.99460812827701
86.60224736726396,89.99253422017425
85.9577656800391,89.98927579845301
85.25804981972001,89.98434876307506
84.50345833130388,89.97713781607347
83.69443704792434,89.96687758849968
82.83152975833161,89.95263415692067
81.91538824779818,89.93328759017832
80.94678131349713,89.90751622363659
79.92660235056401,89.87378338284671
78.85587512815887,89.83032726142913
77.73575743025275,89.77515459152345
76.56754232486782,89.7060386263041
75.3526569453361,89.62052178563127
74.0926588105177,89.51592310744613
72.78922986631811,89.38935041496471
71.44416858368793,89.23771687380076
70.05938058287907,89.05776139663283
68.63686835559041,88.84607217733475
67.17872071481293,88.5991125182729
65.68710261095926,88.31324806304515
64.1642459125108,87.98477456299808
62.612441665859166,87.60994538185417
61.03403423251496,87.1849980646633
59.431417565085496,86.70617944722164
57.80703373942452,86.16976894142559
56.16337372074629,85.57209978392903
54.50298021524495,84.9095781668545
52.82845235163466,84.17870027175778
51.14245185163663,83.3760672979284
49.447710284714944,82.4983986140151
47.7470369582604,81.5425431718084
46.04332696665533,80.50548930900966
44.339568907325294,79.38437304159127
42.638851764917014,78.1764849142466
40.94437046208575,76.87927544807216
39.25942957300022,75.4903592067844
37.587444689380284,74.00751750539399
35.931940913959416,72.42869981772438
34.296547927043136,70.75202401166307
32.68499102118581,68.9757756650842
31.101077417845374,67.09840690435941
29.548677056766703,65.1185354770543
28.031696869917972,63.034945139262085
26.55404730128895,60.846588926922934
25.1195994958497,58.552597511012394
23.73213114346122,56.15229562662241
22.395258426433482,53.64523052066462
21.112350909114802,51.03121745620602
19.886425601827703,48.31040845473646
18.720015996587854,45.483391448817976
17.615011918387857,42.55132746715635
16.57246707803422,39.51613271666063
15.59237401071153,36.38070945143061
14.67341159566324,33.14922301372157
13.812679468477953,29.827411099500765
13.005446553293927,26.422894674284258
12.244956095373489,22.94543981820032
11.522342485079184,19.407101730721465
10.826718213429174,15.822176062889536
10.145474016315594,12.206899952873552
9.46479780766334,8.578891120590404
8.770365358456337,4.95637955011101
8.048106697842183,1.3573484085226335
7.2849290941916856,-2.201269931039916
6.469291717927229,-5.704215518467091
5.591571355800602,-9.138269634389692
4.644211970704799,-12.492367957347973
3.6216928401691364,-15.757507155220386
2.520370516333458,-18.92651769148285
1.3382506703266273,-21.99377410266593
0.07473488810013282,-24.954897871633133
-1.269627283910864,-27.806487847089702
-2.693364088674106,-30.545895549565458
-4.194277935403916,-33.17105018165873
-5.769611347487958,-35.68033064619472
-7.41618464866187,-38.07247819290693
-9.130508846667315,-40.34654213088794
-10.908877337973458,-42.501851284343346
-12.747439656682051,-44.53800479943991
-14.642259875004571,-46.4548770859739
-16.58936162702424,-48.252632856402066
-18.584761168909566,-49.931749287199125
-20.62448944814763,-51.493043221656336
-22.704603844364662,-52.93770203871755
-24.821190066836273,-54.26731731919988
-26.97035465020909,-55.48392073775058
-29.148208586071238,-56.59002167947458
-31.350842875140142,-57.58864590238114
-33.574297196870134,-58.48337411892604
-35.81452347908858,-59.27837864204952
-38.06734690068657,-59.97845525381352
-40.32842772997217,-60.58904628455886
-42.59322828754396,-61.116249698004815
-44.856990049788294,-61.56680802787448
-47.11472622945301,-61.948070668679975
-49.36123479673659,-62.26792369826952
-51.59113559034546,-62.534683445863635
-53.7989328192665,-62.756953525950784
-55.979101049775274,-62.943449745976366
-58.12618921265792,-63.102802402741084
-60.234934015263725,-63.24334988478106
-62.30037221154154,-63.37294002266265
-64.3179410387593,-63.498755474770235
-66.28355786428283,-63.627176508541076
-68.19367326227899,-63.76368951727769
-70.04529555471441,-63.91284371033524
-71.83598842921165,-64.07825293066414
-73.56384592511299,-64.26263546799714
-75.22745055677478,-64.46788248878372
-76.82582066888253,-64.69514521444479
-78.35835257284857,-64.94493182352004
-79.82476195924738,-65.21720668330508
-81.2250278486832,-65.51148643363862
-82.55934116943511,-65.82692928840662
-83.8280590681209,-66.16241548228389
-85.03166531807656,-66.51661799189917
-86.17073668179107,-66.88806350775562
-87.24591477192931,-67.27518417710957
-88.25788279376467,-67.67636094618416
-89.20734649558584,-68.08995946878201
-90.09501866555253,-68.51435957374436
-90.92160656517676,-68.94797923923701
-91.68780176104885,-69.3892939388286
-92.39427189438312,-69.83685212395298
-93.04165400434593,-70.28928750305923
-93.63054909149827,-70.74532867743882
-94.16151767001317,-71.20380660148138
-94.63507611112334,-71.66366025259362
-95.0516936259277,-72.1239408233601
-95.41178977413456,-72.5838146849984
-95.71573241766211,-73.04256531558717
-95.96383606543354,-73.49959433754819
-96.15636057934627,-73.95442176502677
-96.29351023234304,-74.4066855217638
-96.37543312875532,-74.8561402524935
-96.40222101551913,-75.30265541464647
-96.37390953126781,-75.74621260112416
-96.2904789593677,-76.18690200821663
-96.15185557122719,-76.62491792462744
-95.95791366805702,-77.06055307756344
-95.70847845283056,-77.49419162982038
-95.40332988928995,-77.92630057813784
-95.04220773078876,-78.35741925893842
-94.62481792719804,-78.7881466250643
-94.15084064075319,-79.21912591983558
-93.61994011810116,-79.65102634805615
-93.03177667093503,-80.08452133512583
-92.38602100475089,-80.52026298543147
-91.68237109588826,-80.95885241265906
-90.92057174103878,-81.40080573287743
-90.10043678005098,-81.84651570253338
-89.2218738123666,-82.29620926273897
-88.28491098386552,-82.74990162768249
-87.28972511614073,-83.20734802644171
-86.23667009872473,-83.66799475316574
-85.12630409819067,-84.13093175435901
-83.95941380781666,-84.59484950828504
-82.73703373705848,-85.05800332779353
-81.46045850008217,-85.5181883271761
-80.13124627822712,-85.97272802867269
-78.75121214341975,-86.41847888048855
-77.3224107260371,-86.85185182757795
-75.84710871239324,-87.26885062828316
-74.32774872207928,-87.66512504583439
-72.76690706561826,-88.0360356208961
-71.16724854690845,-88.37672570072834
-69.53148173441257,-88.68219593980936
-67.86231794689418,-88.94737665284332
-66.16243664156318,-89.167194119874
-64.434459081851,-89.33662803900475
-62.680931255834984,-89.4507585725907
-60.90431616066028,-89.5048026273222
-59.106994868610435,-89.49413999205493
-57.291275299590495,-89.41433064768192
-55.45940734714476,-89.26112494770146
-53.613602910825655,-89.0304684831396
-51.75605942934219,-88.7185033543832
-49.888985635903055,-88.32156734480526
-48.01462842538762,-87.83619218910171
-46.135299899243606,-87.25910180137987
-44.2534038168639,-86.5872110074136
-42.37146082039642,-85.81762503200179
-40.492131910004794,-84.9476397359756
-38.618239730216956,-83.97474238155326
-36.752787289824695,-82.89661252936386
-34.898973783700434,-81.71112253414587
-33.06020722069225,-80.41633700759554
-31.240113592255277,-79.01051055584183
-29.442542344753758,-77.49208307682721
-27.671567945095582,-75.8596719225979
-25.931487352118218,-74.11206029845656
-24.226813218565862,-72.2481813931773
-22.56226263919217,-70.26709792387355
-20.94274121160174,-68.16797705304194
-19.373322061515644,-65.95006101951748
-17.859219265584674,-63.61263435789821
-16.405754730195184,-61.15498931937582
-15.01831698207919,-58.57639213439448
-13.702309399949428,-55.87605419373524
-12.463084042526601,-53.05311423365812
-11.305855260314317,-50.106640402545764
-10.235584568269013,-47.03566489507609
-9.256824720794262,-43.83926884583278
-8.373506706409021,-40.5167413075635
-7.588649146048212,-37.06784265669882
-6.90396713754846,-33.49320746659878
-6.3193607281962185,-29.79491989172367
-5.832278536598742,-25.97727710158134
-5.43698866056081,-22.04771079651959
-5.12385416796583,-18.01775255023167
-4.87879824270255,-13.90381172889459
-4.68321863526068,-9.727430816273808
-4.514602037221181,-5.514685332858669
-4.34792958398323,-1.2945951134604747
-4.157674674300775,2.903211930739717
-3.919925227702469,7.050991728442495
-3.6141019198227333,11.12486102659969
-3.22393791064779,15.105842968399458
-2.737690661592621,18.97996133331721
-2.1477844149054466,22.737654235811974
-1.4501529218239906,26.372860849706214
-0.6435050275403447,29.88206476954982
0.27135249381809073,33.263457824988954
1.2920775282619241,36.51628682434529
2.415231984952523,39.640383770434475
3.636612816581896,42.63585175757692
4.951497098689462,45.50287115661152
6.354822957905112,48.24159316467148
7.841324358813334,50.85209384756555
9.405633371614952,53.33436822116238
11.042359636253986,55.68834943948923
12.746153640016802,57.91394248497365
14.511758124349157,60.011064995007736
16.33405030247034,61.979690233201964
18.208076450222087,63.8198889473433
20.129079692254226,65.53186813208693
22.092521333951677,67.1160056684972
24.09409580168841,68.57288053980481
26.129739086793,69.90329888713221
28.195630496200256,71.1083166117783
30.28818746361665,72.18925957686214
32.40405314997157,73.14774272299005
34.54007655336233,73.98568959132935
36.69328486085569,74.70535383270153
38.86084782453265,75.30934424922562
41.04003406364869,75.80065472561431
43.22815943083759,76.18270000209525
45.422527994509146,76.45935754441537
47.62036685205683,76.63501469369534
49.81875696266547,76.71461875735906
52.01456350233361,76.70372571213713
54.20437084416451,76.60854082789393
56.38442896238007,76.43594207966916
58.550619467816915,76.1934752522797
60.69845003065193,75.8893089799753
62.823084958155256,75.53213954994982
64.91941662993986,75.1310398685098
66.98217728252142,74.69525458345811
69.00608398881513,74.23395289956001
70.98600312180086,73.75595988738836
72.91711606284957,73.26949328385207
74.79506699461082,72.78193368307879
