theta_1,theta_2
90.0,90.0017
89.97189642176197,90.00169999733718
89.88758578416186,90.00169982216646
89.74706894648367,90.00169799932488
89.55034923377907,90.00168882519934
89.29743527475418,90.0016575026691
88.98834496940502,90.00157333898811
88.62311057530991,90.00138102499982
88.20178489026485,90.00099003269777
87.72444849187434,90.00026219650118
87.1912179708156,89.99899758336346
86.60225506317975,89.99691880906545
85.95777654852132,89.99365402298899
85.25806473478397,89.98871886031958
84.50347830092035,89.98149774637716
83.69446321584337,89.9712250280796
82.83156340273783,89.95696649574806
81.9154307763973,89.93760193589598
80.9468342547342,89.911809412086
79.92666734082374,89.87805199556875
78.85595389499319,89.83456765021414
77.73585177191094,89.77936290974047
76.56765408665295,89.71021086635878
75.35278799355646,89.62465382152067
74.09281100501669,89.5200107410344
72.78940503272413,89.39338942433567
71.44436848660801,89.24170306188505
70.05960690124931,89.06169063827988
68.63712266129437,88.84994046310884
67.1790044554922,88.60291599348743
65.68741709769,88.31698306088289
64.16459231273149,87.98843763095921
62.612821001639,87.61353330118808
61.03444738397437,87.18850786283149
59.43186527854457,86.70960840377734
57.80751663967362,86.17311458795662
56.163892326713196,85.57535989888447
54.50353495827219,84.91275076616316
52.82904359557209,84.18178359615698
51.14307991398699,83.37905979786845
49.448375458131956,82.50129893290706
47.74773953177792,81.54535012825637
46.04406724611183,80.50820187853053
44.34034723453197,79.38699033818794
42.63966853519382,78.17900617207505
40.94522613985299,76.88170000333824
39.26032470516102,75.49268647992695
37.58837991625838,74.00974698356423
35.93291697756523,72.43083103756042
34.297565676424796,70.75405654238928
32.686051414577285,68.97770909204468
31.102181521243033,67.100240813232
29.549826038440088,65.12026943919822
28.032891990177784,63.036578698946116
26.555289896579943,60.848121591580366
25.12089095589199,58.554028746199585
23.733472879714974,56.15362485804162
22.396651829601474,53.64645714646721
21.113797292738077,51.03234087381209
19.887926128327408,48.31142810753418
18.721571581495187,45.48430689918634
17.6166231082487,42.552138502962414
16.57413389803092,39.51683949813841
15.594095780102553,36.381312703245456
14.675186713588571,33.14972426186017
13.81450518035343,29.82781294320257
13.007318719122205,26.423201069109055
12.246868994424291,22.945656329129847
11.52428870252679,19.40723569896739
10.828688657073899,15.8222366254032
10.147458098602355,12.206897868542617
9.466783797633274,8.578838394984258
8.772340867125981,4.956288902468351
8.050059224585455,1.357232670049166
7.2868465472750445,-2.201398380723352
6.4711628355469415,-5.704345187577332
5.5933859868682685,-9.138390181405324
4.645961211427423,-12.49247027993947
3.623369049708774,-15.757583339780043
2.521967247300371,-18.926560871647816
1.3397625497971029,-21.993778273427957
0.07615747771014904,-24.95485769509893
-1.2682976294436885,-27.806398473273376
-2.692130353450129,-30.545752464630297
-4.1931425595284795,-33.17084908817155
-5.768576328210117,-35.68006737511479
-7.415251626176299,-38.072148644505354
-9.12967917614381,-40.34614224081107
-10.90815214950506,-42.50137701097258
-12.746819904576167,-44.537452129132184
-14.64174637739491,-46.45424205342486
-16.58895509628062,-48.25191157810694
-18.584462232837936,-49.9309380067096
-20.62429866154249,-51.49213836599848
-22.70452169012586,-52.936700285909126
-24.821216945616253,-54.26621567724519
-26.97049085744723,-55.48271663574326
-29.14845427534565,-56.58871307142747
-31.3511980070866,-57.58723138403167
-33.57476147355875,-58.48185305692188
-35.81509626478876,-59.27675131349465
-38.06802713144416,-59.97672299208073
-40.329213816361765,-60.58721162457833
-42.59411801722266,-61.1143165111186
-44.85798049877744,-61.564781633240905
-47.115813692931866,-61.94595790583235
-49.36241475091304,-62.265732944700105
-51.5924026960163,-62.53242456534758
-53.800280974552436,-62.75463773834469
-55.98052349425209,-62.941089417299104
-58.12767867841529,-63.100410764373585
-60.23648291363263,-63.24094070062331
