theta_1,theta_2
90.0,89.99329999999999
89.97189642075149,89.99329999935813
89.88758576799428,89.99329985450161
89.74706886463785,89.99329816301754
89.55034897512726,89.99328934251399
89.29743464339032,89.99325876546361
88.98834366062522,89.99317595683634
88.6231081519038,89.99298587280458
88.20178075936165,89.99259829739415
87.72444188268705,89.9918754222857
87.19120791373959,89.99061771469897
86.60224037081986,89.98854823051472
85.95775579933758,89.98529559473435
85.25803626014864,89.98037594804828
84.5034401764542,89.97317424407521
83.69441325793036,89.96292537220371
82.83149917108861,89.9486956692635
81.91534958342638,89.92936546080304
80.94673318232253,89.9036133293268
79.92654326475275,89.86990283161965
78.85580351696424,89.8264723702185
77.73567165862511,89.77132885769711
76.56744071495118,89.7022456936079
75.35253780015253,89.61676540549686
74.09252043894597,89.5122070969137
72.78907060832769,89.38567861271545
71.44398683471658,89.23409309593805
70.05917481624986,89.05418939387629
68.63663714195813,88.84255559519202
67.17846273779898,88.59565486154074
65.68681667836215,88.30985266568813
64.16393096274152,87.98144456409445
62.61209676952008,87.60668370792247
61.03365858929333,87.18180741832647
59.43101049634747,86.7030623018583
57.80659467706031,86.1667275412207
56.162902192926325,85.56913614857764
54.50247582980222,84.90669410009262
52.82791477779625,84.17589737288542
51.141880800797544,83.37334697553733
49.447105490891374,82.49576210122332
47.74639815878758,81.539991542418
46.04265388361715,80.50302349413053
44.33886123012651,79.38199384639806
42.638109134339764,78.17419303464958
40.94359245611424,76.87707148717902
39.25861569465444,75.48824369110089
37.58659435677271,74.00549090075464
35.93105345278134,72.42676254495409
34.29562256570166,70.75017646194256
32.68402688885319,68.97401821491992
31.100073545755933,67.09673992993396
29.547632383210487,65.11695936754519
28.030610249546587,63.03346030845008
26.552917519581108,60.84519582204763
25.118425289896695,58.55129661735108
23.730911230640466,56.151087465645894
22.39399154304756,53.64411563884673
21.111035861672608,51.0301964006363
19.8850613342826,48.30948173066071
18.718601677402994,45.48255945324994
17.613547051530904,42.55059039206049
16.570951641498297,39.51549041542803
15.590808624288314,36.38016126428182
14.671797715651861,33.14876755236391
13.811019600037058,29.827045999933528
13.003744461050756,26.422616339480655
12.243216980973429,22.945243188026645
11.520573090236338,19.406980130295366
10.824926804727951,15.822121184834081
10.143670219748063,12.206902015303204
9.462992288679075,8.578939208238754
8.768569380701027,4.956462098892898
8.046331626419327,1.35745375256818
7.283185922404109,-2.201153047010155
6.467590684464788,-5.7040975424841
5.589921689436548,-9.13815996861231
4.642621766105167,-12.492274877182073
3.6201690436504137,-15.757437855190785
2.5189189890623616,-18.926478413860494
1.3368762965096943,-21.993770306484983
0.07344170220120544,-24.954934409304677
-1.2708359685234487,-27.806569127349977
-2.6944855597904187,-30.546025675466353
-4.195309975414556,-33.171233059450486
-5.770552141420167,-35.68057006535324
-7.4170327061626615,-38.07277787985542
-9.13126293651088,-40.34690577985624
-10.909536433554864,-42.50228256886354
-12.748002891201603,-44.53850736758482
-14.642726505453265,-46.45545454184625
-16.589731006535985,-48.253288729716466
-18.585032727486563,-49.93248699214069
-20.62466268215634,-51.4938660055939
-22.70467831551824,-52.93861292082834
-24.82116541160293,-54.26831901866223
-26.97023060068527,-55.48501559093233
-29.147985003291662,-56.5912115455544
-31.350519795506653,-57.589932057177265
-33.57387489179887,-58.484757137473125
-35.81400252703,-59.27985827175863
-38.066728269316016,-59.98003028193546
-40.32771286458632,-60.59071440612081
-42.592419199641796,-61.11800739322606
-44.85608939772454,-61.56865046088921
-47.11373738136301,-61.94999162155939
-49.36016186522135,-62.269915555003195
-51.589983429268734,-62.536737239286765
-53.79770697585719,-62.75905905604442
-55.97780767001029,-62.94559577063231
-58.12483490398065,-63.10497689296912
-60.23352567686571,-63.2455403272446
-62.298916847247256,-63.37513374549604
-64.31644556979833,-63.50093996960564
-66.28202895840201,-63.62933972325724
-68.19211719210573,-63.7658200995925
-70.04371809309335,-63.91493119039318
-71.83439478372728,-64.08028783924102
-73.5622407093138,-64.26460939416627
-75.22583779239679,-64.46978808587097
-76.82420381177529,-64.69697616562529
-78.35673455509826,-64.94668277882789
-79.82314524073797,-65.21887317877781
-81.22341447259535,-65.51306480146522
-82.55773281758947,-65.82841656483633
-83.8264571133924,-66.16380931804544
-85.03007087221212,-66.5179165681722
-86.16915063781346,-66.8892654593997
-87.24433784091757,-67.27628852387802
-88.25631553620248,-67.6773670319827
-89.20578934770892,-68.09086690860842
-90.09347196124936,-68.51516820770449
-90.92007055403965,-68.9486890929173
-91.68627662316275,-69.38990518927584
-92.39275775240034,-69.83736507053418
-93.04015093333922,-70.28970254252722
-93.62905712702282,-70.74564628259633
-94.16003681474635,-71.2040273029084
-94.63360634039257,-71.66378462297422
-95.0502348923833,-72.12396946401155
-95.4103420117769,-72.58374821426678
-95.7142955453909,-73.04240435882868
-95.96240999025005,-73.49933951846438
-96.1549451993078,-73.95407369816638
-96.29210543934023,-74.40624480604352
-96.37403881115809,-74.85560746562682
-96.4008370607131,-75.30203110840456
-96.37253582808184,-75.74549729738608
-96.28911540037107,-76.18609619579951
-96.15050205485375,-76.62402205692133
-95.95657010049112,-77.05956757103097
-95.70714474956677,-77.49311686345798
-95.40200597625382,-77.92513689403468
-95.04089354488151,-78.35616696410851
-94.62351341610288,-78.7868059947676
-94.14954576181839,-79.21769720264011
-93.61865483609668,-79.64950977292395
-93.03050095447026,-80.0829171208221
-92.38475482114546,-80.51857135255267
-91.68111440431494,-80.95707359853968
-90.91932448381333,-81.39894000955461
-90.0991988720404,-81.84456339781008
-89.22064512863051,-82.29417078417707
-88.28369134584197,-82.74777748906992
-87.28851427693492,-83.20513887591511
-86.23546772834325,-83.66570140175119
-85.12510976985833,-84.12855520325759
-83.95822698677146,-84.59239097284421
-82.73585377338573,-85.05546425585253
-81.45928462715442,-85.51557040945013
-80.13007761811113,-85.97003319912682
-78.75004772016645,-86.41570930528577
-77.32124948710876,-86.84900988214024
-75.84594955768038,-87.26593886316984
-74.32659053914031,-87.66214614334174
-72.76574876908225,-88.03299234530901
-71.16608911954327,-88.37362084581882
-69.53032026725225,-88.6790322773663
-67.8611536760455,-88.94415688571931
-66.1612689798066,-89.16392084233652
-64.43328764380415,-89.33330370623743
-62.67975587613389,-89.44738548018182
-60.903136905227555,-89.50138290065767
-59.10581203955015,-89.4906755848043
-57.29008943454935,-89.41082334807533
-55.45821921411363,-89.25757639103507
-53.6124134993555,-89.02688016888187
-51.75486993905282,-88.71487666632787
-49.887797463011914,-88.31790357287838
-48.01344314781169,-87.83249255163159
-46.13411926065589,-87.25536746684921
-44.252229709931186,-86.583443114911
-42.370295269296776,-85.81382470976482
-40.49097705222359,-84.94380811756815
-38.61709779754855,-83.97088061934791
