theta_1,theta_2
90.0,90.0051
89.97189642217097,90.00509999651918
89.88758579070584,90.00509980907844
89.74706897961161,90.00509793306846
89.550349338471,90.00508861581075
89.29743553030451,90.00505699154058
88.9883454991442,90.00497227939056
88.62311155619975,90.0047790628125
88.20178656226902,90.00438668750667
87.72445116696481,90.00365684329473
87.19122204143041,90.00238943512947
86.6022610098996,90.00030690067238
85.95778494668588,89.99703719681422
85.25807625972682,89.99209575415867
84.50349373147165,89.98486678422427
83.69448343573632,89.97458441439782
82.83158939956684,89.96031421384156
81.91546363781869,89.94093575094102
80.94687516167821,89.91512687926878
79.92671755760253,89.88135047361092
78.85601475633995,89.8378443203441
77.7359246671628,89.78261479990147
76.56774044148298,89.71343488015088
75.35288924984839,89.62784677107925
74.09292859964233,89.52316938278184
72.78954037610573,89.39651049633645
71.44452294201031,89.24478332141156
70.05978176573892,89.06472689817569
68.63731914922431,88.85292962562032
67.17922368522572,88.6058550804163
65.68766008208347,88.31986923916958
64.16485995367447,87.99126823311185
62.61311408871975,87.61630584029145
61.034766597125554,87.19122004217272
59.43221119434098,86.71225812138655
57.80788974081421,86.17569993656167
56.16429301412679,85.57787916191381
54.50396356523935,84.91520241049848
52.82950040324924,84.18416626234459
51.14356516774387,83.38137228845822
49.44888938416136,82.50354019951155
47.74828235349776,81.54751925782547
46.0446391999456,80.51029807923014
44.34094858471872,79.3890129251651
42.64029958733739,78.18095455329538
40.94588725296919,76.88357366560032
39.26101630201828,75.49448497509765
37.589102491829856,74.01146991504227
35.9336711054169,72.43247804696735
34.29835201285163,70.75562729651088
32.686870700264876,68.97920327010719
31.103034580169922,67.10165809470335
29.55071377363884,65.12160949246461
28.03381537583159,63.03784117144089
26.556249965734317,60.84930610225105
25.121888782795114,58.55513488160876
23.734509555453492,56.154652173925896
22.397728429265488,53.64740517723978
21.114914831839545,51.03320915328223
19.889085505653373,48.31221620498892
18.722773505104943,45.48501447581388
17.617868001126535,42.55276539414419
16.575421780335592,39.517385826948164
15.595426126545352,36.381779028868024
14.676558287908685,33.150111762652195
13.815915854791255,29.828123626833623
13.008765295373223,26.423437991308386
12.248347052699247,22.945823789274055
11.525792513948396,19.407339368978988
10.830211196600287,15.822283564818644
10.14899118568467,12.206896390196258
9.468318368182924,8.578797775028795
8.77386734857434,4.956218968505858
8.051567958066494,1.3571433362045222
7.2883281898218,-2.201497549230769
6.472608685398134,-5.704445311487155
5.594788200404177,-9.138483270154001
4.647312908687834,-12.492549300351222
3.6246643264886607,-15.75764217705941
2.523201121449344,-18.92659422006585
1.340930869297548,-21.993781492700247
0.07725681259139494,-24.954826660316716
-1.2672700964050245,-27.806329436450454
-2.691176928630198,-30.54564193745779
-4.192265128990677,-33.17069374950532
-5.767776435842274,-35.67986400298047
-7.414530539980219,-38.07189407045468
-9.129037943885574,-40.34583332370423
-10.907591645032243,-42.50101062721448
-12.746340865902086,-44.537025176723816
-14.641349437304926,-46.45375146769954
-16.588640805828664,-48.25135435758706
-18.584231077726848,-49.93031124807886
-20.62415107104946,-51.49143930769934
-22.704458037963622,-52.93592636031844
-24.82123754193065,-54.26536457172061
-26.970595931067322,-55.48178636302794
-29.148643945459526,-56.587702049891966
-31.35147224376294,-57.586138527944755
-33.575120047029685,-58.48067787629022
-35.81553868421347,-59.275494021909836
-38.06855257502719,-59.975384619408345
-40.32982105619871,-60.585794129240114
-42.5948053439957,-61.11282288430648
-44.85874565320059,-61.56321598500191
-47.11665381228148,-61.94432552112456
-49.36332633958142,-62.26404029695403
-51.59338162828961,-62.53067927649441
-53.801322535394554,-62.75284847815503
-55.98162245980716,-62.939265741116905
-58.128829432770225,-63.09856289608246
-60.23767959313319,-63.23907927541093
-62.30320949126608,-63.368663018084696
-64.32085652594306,-63.49449646297222
-66.28653855920525,-63.622958987234455
-68.19670693598341,-63.75953561905355
-70.04837095297502,-63.90877384681455
-71.83909540008437,-64.07428556219988
-73.56697547493009,-64.25878699140847
-75.23059484571382,-64.46416722589173
-76.82897296034291,-64.69157547926515
-78.36150715127194,-64.94151804515755
-79.82791402955786,-65.21395756364802
-81.228173428069,-65.50840912256585
-82.56247697944714,-65.82402956333907
-83.8311824324918,-66.15969792282704
-85.03477406950823,-66.51408614364999
-86.17382907930048,-66.88572003195478
-87.24898942915937,-67.27303098472332
-88.26093861788588,-67.67439931630196
-89.21038263594679,-68.08819015203957
-90.09803447099796,-68.51278288195321
-90.92460154886973,-68.94659512262324
-91.6907755716509,-69.38810205234243
-92.3972242925241,-69.83585188406643
-93.04458484342369,-70.28847813636652
-93.63345830196845,-70.74470926224348
-94.16440524645061,-71.20337610341275
-94.63794210145005,-71.66341755515744
-95.05453812230677,-72.12388475419662
-95.41461290512173,-72.583944038503
-95.71853434128849,-73.0428788724407
-95.96661696296391,-73.50009088160843
-96.15912064952009,-73.95510009794668
-96.29624968595988,-74.40754447562412
-96.37815218351619,-74.85717870066547
-96.40491989108028,-75.30387228103362
-96.37658844450662,-75.74760686786601
-96.29313811990191,-76.18847272187259
-96.15449517727102,-76.62666420079293
-95.96053390274076,-77.06247410380132
-95.71107948115575,-77.49628666671867
-95.40591185593911,-77.92856895822896
-95.0447707590576,-78.35986038313759
-94.627362119366,-78.79075995620717
-94.15336608025288,-79.2219109728231
-93.62244687388257,-79.65398267605626
-93.03426480443879,-80.087648511248
-92.38849057989563,-80.52356057929788
-91.68482219242551,-80.96231996136632
-90.92300447151867,-81.40444270599917
-90.10285131045504,-81.8503214610845
-89.22427038618375,-82.30018301243008
-88.28728994900466,-82.75404236735258
-87.29208695359193,-83.2116544932643
-86.23901545132647,-83.67246536703996
-85.12863379728759,-84.13556456474572
-83.96172889508786,-84.59964214750116
-82.73933547847516,-85.06295297526887
-81.4627483889406,-85.52329168922294
-80.13352602460567,-85.97798133776087
-78.75348364827514,-86.42387791678333
-77.3246760394447,-86.8573919636384
-75.84936997699934,-87.27452689554791
-74.33000810442952,-87.6709322191828
-72.7691666793756,-88.04196831557458
-71.16951037282811,-88.38277847463601
-69.53374754215145,-88.6883633937697
-67.86458922329192,-88.95365352207075
-66.16471452906677,-89.17357535120487
-64.43674432948222,-89.34310885029825
-62.683224183761375,-89.45733449266928
-60.9066166382348,-89.51146951661396
-59.109302304827324,-89.50089404551922
-57.29358864432195,-89.42116838255639
-55.461725101260505,-89.26804317911407
-53.615923143298,-89.03746429075791
-51.7583797996256,-88.72557404312803
-49.891303420171944,-88.32871040234315
-48.01694054555493,-87.84340524243632
-46.13760295401803,-87.2663825744537
-44.2556941144042,-86.59455728124571
-42.37373441237164,-85.82503460854582
-40.49438462706323,-84.95511040659005
-38.62046721900636,-83.98227190072588
-36.75498505179701,-82.90419859411418
-34.90113721598617,-81.71876276932878
-33.06233165935188,-80.42402895712974
-31.242194358221315,-79.0182516796739
-29.44457479277979,-77.49987075320043
-27.673547516045165,-75.86750345490775
-25.933409628974957,-74.11993292562772
-24.22867398665018,-72.25609230206638
-22.56405795125824,-70.27504426166685
-20.944467458795398,-68.17595593694128
-19.37497605164358,-65.95806954014542
-17.86079831083026,-63.620669571745296
-16.40725674737926,-61.163048224174595
-15.01974060987428,-58.584471619436485
-13.703654139179843,-55.88415095473724
-12.464350427861838,-53.061224638734025
-11.307045074239959,-50.11476029214675
-10.236701110944445,-47.043789294651205
-9.257873151597767,-43.84739156620599
-8.374494473127653,-40.52485440645528
-7.589586512878046,-37.075935739183876
-6.904867808300055,-33.501266819270754
-6.320242528931616,-29.802927485116648
-5.833164064213847,-25.98520956972691
-5.437905718147478,-22.055538616362863
-5.124835711475328,-18.025439776329574
-4.879881511365975,-13.911316719331085
-4.684443222462445,-9.734708291079043
-4.516006952077897,-5.521689734836688
-4.349549797975141,-1.3012846645530953
-4.1595379951783285,2.8968715431935084
-3.9220503135875786,7.04502506860045
-3.616497807906228,11.119282494745605
-3.226604873369103,15.100657991951516
-2.740621854686811,18.975168461968195
-2.150967753975038,22.733247419392665
-1.4535727991824654,26.368831418284735
-0.6471436920595831,29.87840291453223
0.2675139190799989,33.26015357533049
1.2880583388941365,36.51333060620264
2.411051423547038,39.63776666255254
3.6322897664785105,42.633565543578996
4.947049887951379,45.500908252636286
6.35026923428192,48.23994647815764
7.836681009692048,50.850756604648744
9.400916472769326,53.333333786702354
