theta_1,theta_2
90.0,90.00099999999999
89.97189642167777,90.00099999750559
89.88758578281455,90.00099982486105
89.7470689396632,90.00099801296591
89.55034921222482,90.0009888683088
89.29743522214075,90.00095760790164
88.9883448603407,90.00087355714109
88.6231103733611,90.00068142898093
88.20178454602669,90.00029072141668
87.72444794111635,89.99956329863817
87.19121713274022,89.99829926095276
86.60225383884163,89.9962212608141
85.95777481946492,89.9929574872361
85.25806236196547,89.98802361752595
84.50347512398628,89.98080412102401
83.69445905284067,89.97053338984858
82.83155805032813,89.9562772598569
81.91542401063874,89.93691556247488
80.94682583247884,89.91112640450254
79.92665700175395,89.87737289764348
78.85594136429006,89.83389304231481
77.73583676351073,89.77869340379789
76.56763630700846,89.70954709990792
75.35276714578075,89.62399645093102
74.09278679325288,89.51936043414857
72.78937716655976,89.39274685277778
71.44433668533898,89.24106889332553
70.05957089780078,89.06106552894778
68.6370822056217,88.84932505082529
67.17895931731506,88.6023108914567
65.68736706845228,88.31638885242414
64.16453720672602,87.98785486529974
62.612760656282674,87.6129624903724
61.03438165926369,87.18794947973917
59.431794055759205,86.70906288118785
57.807439819424246,86.17258231855848
56.16380982644906,85.5748412360983
54.50344670937349,84.91224602563392
52.82894954015366,84.18129305776968
51.142980001534426,83.37858370814926
49.44826964208169,82.50083750768812
47.74762776614011,81.54490355550197
46.04394948222121,80.507770321245
44.34022341799851,79.38657393734675
42.63953860311308,78.17860504954103
40.94509001832571,76.88131426474132
39.260182307164115,75.49231621749841
37.58823113990483,74.00939227892384
35.93276170478892,72.43049196445669
34.29740377212918,70.7537331693881
32.685882726293364,68.977401485149
31.10200587935567,67.09994903839323
29.549643257060993,65.11999356464746
28.03270186877302,63.03631879722614
26.555092222500267,60.84787774109632
25.120685508009085,58.553801032021354
23.73325943343804,56.1534133715824
22.396430163637795,53.64626198352663
21.1135671980661,51.032162130309885
19.88768741996254,48.31126587208121
18.72132411372581,45.48416124146762
17.61636679406054,42.55200945679449
16.573868733349357,39.5167270381021
15.59382187315524,36.381216714129636
14.674904318982847,33.14964450097381
13.814214736242164,29.8277489971117
13.00702088406475,26.423152308602067
12.24656467846115,22.945621868950425
11.523979085215037,19.40721437127673
10.828375184826731,15.822226976676948
10.147142455730908,12.206898187222713
9.466467850353876,8.578846771179512
8.772026586341319,4.956303312751464
8.049748598962283,1.3572510731796306
7.286541500435216,-2.2013779541475285
6.47086515908815,-5.704324565720746
5.5930972956970155,-9.138371009450236
4.645682922032447,-12.49245400594054
3.623102377670222,-15.757571222694422
2.5217132183468034,-18.926554003841947
1.3395220187326267,-21.99377761024902
0.07593115066994005,-24.95486408577412
-1.2685091724878874,-27.806412689417705
-2.692326637708163,-30.545775224387764
-4.193323196750262,-33.1708810752638
-5.768741000596886,-35.68010925284156
-7.415400072731481,-38.07220106514272
-9.129811181214649,-40.34620585100986
-10.908267533246027,-42.50145245376897
-12.746918515107627,-44.53754004311376
