theta_1,theta_2
90.0,89.99629999999999
89.97189642111238,89.99629999863636
89.88758577376842,89.99629984295335
89.74706889386853,89.99629810455583
89.55034906750309,89.99628915775848
89.2974348688781,89.99625831446453
88.9883441280486,89.99617502188744
88.62310901741108,89.99598414143792
88.20178223469554,89.99559534569948
87.72444424313396,89.99487069875605
87.19121150559536,89.99361052487028
86.60224561816693,89.9915377227378
85.9577632098872,89.9882807474872
85.25804642986486,89.98335555926033
84.50345379264972,89.97614692298419
83.69443110051301,89.96588953429145
82.83152211164753,89.95164953481125
81.91537858188454,89.93230705755819
80.94676928095137,89.90654049967704
79.92658757944656,89.87281324452282
78.8558572258049,89.82936353794047
77.73573598792463,89.77419815717352
76.56751692312903,89.70509039198667
75.35262715997197,89.61958268915782
74.0926242187796,89.51499410302735
72.78919005323128,89.3884324622195
71.44412314814521,89.23681092670265
70.0593291432444,89.05686839280969
68.63681055455962,88.84519302811296
67.17865622332181,88.59824809980375
65.68703113098547,88.31239920877566
64.16416717868222,87.98394205765831
62.612355445848166,87.6091299570397
61.03394032626151,87.18420039600171
59.431315802945484,86.70540015303571
57.80692397938109,86.16900858274602
56.16325584484894,85.57135886567038
54.50285412545526,84.90885713994763
52.82831796525942,84.17799953603036
51.14230909652158,83.37538720553637
49.44755909435832,82.49773947325089
47.746877266987674,81.54190525113988
46.04315870497687,80.50487284123558
44.339391997579575,79.38377822803005
42.63866611728494,78.17591192890364
40.944175971046896,76.87872444175488
39.259226114291316,75.48983031115209
37.58723211750936,74.00701083694024
35.9317190603273,72.42821548169232
34.2963165987276,70.75156210588659
32.68475000045364,68.97533628373039
31.10082646247642,67.09799014151625
29.548415901301933,65.11814143006045
28.03142522798559,63.034573911609186
26.553764869220377,60.846240630469836
25.119305957875508,58.55227226713027
23.731826178879068,56.15199356573414
22.39494171926743,53.644951779447695
21.11202216093519,51.030962171496256
19.886084548560394,48.3101767529136
18.71966243028041,45.48318342920898
17.614645714958314,42.551143177831214
16.57208823190175,39.5159721210512
15.591982676740516,36.38057238468065
14.673008137841709,33.14910912885003
13.812264513007083,29.827319805601714
13.00502104124186,26.422825072195927
12.244521327063957,22.94539064298385
11.521900145854708,19.40707131375031
10.826270369851198,15.822162327413876
10.145023074798042,12.206900453518285
9.464346434484545,8.578903128638245
8.769916369444381,4.956400174642528
8.047662934192763,1.3573747331719166
7.28449330415748,-2.201240719996412
6.4688664611194,-5.704186032951803
5.59115893936682,-9.138242224873057
4.643814418283991,-12.492344692631374
3.62131188833147,-15.757489833905021
2.520007630379234,-18.926507874125477
1.3379070713315393,-21.99377315403082
0.07441158471696899,-24.95490700484262
-1.2699294632931735,-27.806508164358377
-2.6936444659487457,-30.545928076695223
-4.194535956108878,-33.17109589525743
-5.769846557816825,-35.680390493681436
-7.416396675960944,-38.0725531059413
-9.13069738306347,-40.34663303308432
-10.909042126748286,-42.501959094144276
-12.747580481068445,-44.53813042892552
-14.642376549183414,-46.4550214362341
-16.589453989212686,-48.25279680993195
-18.584829076542555,-49.93193369761354
-20.62453277525204,-51.49324890086793
-22.70462248130512,-52.93792974159266
-24.821183922667537,-54.26756772560608
-26.97032365789477,-55.484194431853005
-29.148152710811875,-56.59031912614018
-31.35076212598119,-57.588967420634454
-33.57419164161469,-58.48371985259179
-35.8143932623034,-59.27874852804084
-38.067192264250835,-59.978848988995956
-40.32824903517752,-60.58946329273299
-42.593026037240314,-61.11668909925925
-44.8567649085472,-61.5672686132666
-47.11447903929791,-61.94855088374283
-49.36096658581216,-62.268421639010164
-51.59084757211384,-62.53519687049942
-53.79862638052906,-62.75747988449028
-55.978777727014055,-62.943986227916845
-58.125850657711275,-63.10334600087622
-60.234581952893706,-63.24389747083919
-62.30000839265358,-63.37348842876319
-64.31756719359556,-63.499301573929735
-66.28317565970228,-63.62771728785715
-68.19328426635155,-63.76422213882189
-70.04490121055929,-63.91336555679354
