theta_1,theta_2,energy
85.0,85.01,-2.5632878433698134
84.97200419177886,85.00999874145396,-2.5632878434667496
84.88802166209065,85.00998998982149,-2.56328784375324
84.7480676555107,85.00995785721412,-2.56328784422762
84.55216944351751,85.00987266706456,-2.5632878448864393
84.30036911266073,85.00968617194265,-2.5632878457236097
83.99272745041927,85.009324888295,-2.5632878467292732
83.6293289057334,85.00868158693898,-2.5632878478884913
83.21028758700669,85.00760500189166,-2.5632878491799453
82.73575424081594,85.00588785283459,-2.5632878505748504
82.20592412893366,85.00325331944451,-2.5632878520364577
81.62104568928515,84.99934015952914,-2.5632878535206443
80.98142982848181,84.99368672701067,-2.563287854978013
80.28745965075622,84.98571421864688,-2.5632878563581127
79.53960038264297,84.97470955676614,-2.563287857616073
78.73840920789256,84.95980839425121,-2.5632878587218473
77.88454468729076,84.93997880079384,-2.5632878596716155
76.97877540863978,84.91400624777833,-2.5632878605004015
76.02198749900876,84.88048054384076,-2.563287861294139
75.01519064018174,84.83778537507322,-2.5632878621988517
73.95952226364052,84.78409106531248,-2.563287863424155
72.85624966593818,84.71735108824178,-2.563287865238525
71.70676987841061,84.63530273384201,-2.5632878679544193
70.51260724260052,84.53547216220296,-2.563287871902866
69.27540877647753,84.4151838787171,-2.563287877398899
67.99693755523697,84.27157445207618,-2.5632878847011833
66.6790644609002,84.10161008931424,-2.5632878939707027
65.32375876372204,83.90210750002505,-2.563287905233956
63.9330780740096,83.66975734212109,-2.5632879183557895
62.50915823749397,83.40114945637895,-2.563287933025318
61.05420373782745,83.09279907199395,-2.563287948756571
59.57047911819423,82.74117319849923,-2.563287964902857
58.06030184705412,82.34271650207309,-2.563287980682274
56.52603694054561,81.89387608297658,-2.5632879952104055
54.970093527440376,81.39112470969124,-2.5632880075362063
53.39492341296326,80.83098220836905,-2.5632880166775145
51.80302157488144,80.21003483968668,-2.563288021653877
50.19692841616192,79.5249526088709,-2.563288021515552
