theta_1,theta_2,energy
59.99999999999999,60.00010000000001,-14.714985172182729
59.97566360102179,60.0000979598089,-14.71498517228521
59.90267833666396,60.00006786433546,-14.714985172494854
59.78111633384835,59.99993721005143,-14.714985172806989
59.61109890454387,59.9995832266636,-14.714985173213474
59.392798172996606,59.99883002061246,-14.714985173702717
59.126439306288916,59.99744465743413,-14.714985174259786
58.812303299074216,59.99513226715074,-14.714985174866722
58.45073024727244,59.99153028436224,-14.7149851755031
58.04212302838196,59.98620196411667,-14.714985176146955
57.58695128812348,59.97862934558059,-14.714985176776239
57.085755614926015,59.96820586720714,-14.714985177370723
56.53915176615135,59.95422886819676,-14.714985177914489
55.94783479411234,59.935892239744476,-14.714985178398836
55.3125829073307,59.91227951357953,-14.714985178825412
54.63426089476795,59.8823576919953,-14.714985179209272
53.91382293967484,59.84497213015719,-14.714985179581333
53.152314656843835,59.79884277531801,-14.714985179989782
52.350874203659316,59.7425620465061,-14.714985180499752
51.51073234205603,59.67459460098708,-14.714985181190842
50.63321136511418,59.5932791802726,-14.714985182152198
49.71972284732755,59.49683266008735,-14.71498518347502
48.77176422930882,59.38335634854804,-14.714985185243055
47.79091430259883,59.25084448939833,-14.714985187521654
46.77882771435975,59.097194838196714,-14.714985190346608
45.73722866075888,58.920221095200766,-14.714985193713996
44.667903977649885,58.71766690558102,-14.714985197572364
43.57269586425159,58.48722108095423,-14.714985201818276
42.45349448752901,58.22653365998928,-14.714985206295975
41.312230710910676,57.933232412003484,-14.714985210801274
40.1508691713355,57.60493939589516,-14.714985215089488
38.9714018952982,57.23928721530481,-14.714985218886444
37.775842600529934,56.833934655793136,-14.714985221901756
36.56622177885629,56.38658144625779,-14.714985223842989
35.344582601473434,55.89498194958347,-14.71498522442982
34.11297763400579,55.35695765167208,-14.714985223407215
32.87346629831849,54.77040837932079,-14.714985220557024
31.628112973432525,54.133322232779406,-14.714985215707827
30.378985590429373,53.443784266335086,-14.714985208742807
29.128154546487586,52.69998398927199,-14.714985199606001
27.87769174097674,51.90022179044198,-14.714985188307102
26.629669521078984,51.04291441371855,-14.714985174925198
25.38615931454781,50.12659963064719,-14.714985159611619
24.149229721551634,49.14994027285221,-14.714985142592262
22.920943834610014,48.11172780253314,-14.714985124169274
21.70335555398172,47.01088561693063,-14.714985104722135
20.498504664222608,45.84647230397069,-14.714985084707884
19.30841043495922,44.61768509303794,-14.714985064659954
18.135063504530525,43.32386377807656,-14.714985045185072
16.980415798830276,41.96449543035164,-14.714985026957182
15.846368229902247,40.539220264634864,-14.71498501070723
14.734755911005388,39.04783907340698,-14.71498499720708
13.647330619682664,37.49032269520472,-14.714984987245753
12.58574024231948,35.86682402936763,-14.714984981595553
11.551504949597593,34.177693140845356,-14.714984980965893
10.545989891943096,32.4234960020074,-14.714984985942962
9.570374280852596,30.60503737525138,-14.714984996914907
8.625616852923796,28.723388226954313,-14.71498501398511
7.7124179188232445,26.77991785132696,-14.714985036880941
6.831178501022117,24.776330540553225,-14.714985064872568
5.981957481132151,22.71470613581155,-14.714985096724472
5.164428219931837,20.59754311380764,-14.714985130709914
4.377836770995474,18.427802010969994,-14.7149851647205
3.6209645400715056,16.208946009792687,-14.71498519649333
2.892098959370438,13.944974516027013,-14.714985223950992
2.189016307971213,11.640444720008992,-14.714985245604414
1.5089810287954566,9.300475704429049,-14.714985260915656
0.8487655626594268,6.930729908453163,-14.714985270481804
0.20469367144620174,4.537367916781404,-14.714985275915758
-0.42729160144116524,2.1269747034068076,-14.714985279384297
-1.051536657272517,-0.29354152238267744,-14.714985282904168
-1.6725668568258278,-2.717073273200383,-14.714985287629677
-2.2949634966473997,-5.136452727915394,-14.714985293410093
-2.9232367250677287,-7.544595569978189,-14.714985298805496
-3.561703487001691,-9.934638850196217,-14.71498530155916
-4.214378850347992,-12.30006292688188,-14.714985299333588
-4.884887164700928,-14.634789923673448,-14.714985290427224
-5.576396883579622,-16.93325441820925,-14.714985274234918
-6.291580105936642,-19.190445511014307,-14.714985251352054
-7.03259546417083,-21.40192238277073,-14.714985223366236
-7.801091228352638,-23.563807525607192,-14.71498519246813
-8.598224518606344,-25.67276290747868,-14.714985161026384
-9.424692249047641,-27.72595450605781,-14.714985131233524
-10.280769691051274,-29.72101016998697,-14.714985104873481
-11.166353133462898,-31.655974905176485,-14.714985083213797
-12.08100384746598,-33.529266681766615,-14.714985066997277
-13.02399129759395,-35.33963488584886,-14.714985056498394
-13.994334194345171,-37.086122700443454,-14.714985051612231
-14.990838519146777,-38.768034035511924,-14.714985051952011
-16.01213206154121,-40.38490513979416,-14.714985056940337
-17.056695302538042,-41.93648069792742,-14.714985065886646
-18.122888676829497,-43.42269401468117,-14.714985078048647
-19.208976371815766,-44.84365078283267,-14.714985092678333
-20.313146893262633,-46.1996158939742,-14.714985109054801
-21.43353066270532,-47.4910027592253,-14.714985126506464
-22.568214923446323,-48.71836464165268,-14.71498514442506
-23.715256229715813,-49.882387551261374,-14.7149851622737
-24.872690783900687,-50.98388430780167,-14.714985179590565
-26.038542874052503,-52.02378943052674,-14.714985195989577
-27.210831650802564,-53.00315456394058,-14.714985211159027
-28.3875764707709,-53.9231441926644,-14.714985224858811
-29.566801023127063,-54.785031436175615,-14.714985236916839
-30.74653644713898,-55.590193745508216,-14.71498524722477
-31.92482364094013,-56.340108349782504,-14.714985255733438
-33.09971495471634,-57.03634732176972,-14.714985262447957
-34.269275454274165,-57.6805721499443,-14.714985267422472
-35.431583932642646,-58.27452772111107,-14.714985270754578
-36.58473383711462,-58.82003563421208,-14.714985272579295
-37.72683426614892,-59.31898678373005,-14.714985273062478
-38.856011174160585,-59.77333317142398,-14.71498527239368
-39.97040890196346,-60.18507892885453,-14.71498527077841
-41.068192126327006,-60.5562705607443,-14.714985268429952
-42.14754829395831,-60.88898645060253,-14.714985265560932
-43.206690573823806,-61.18532570454446,-14.714985262375038
-44.243861328123714,-61.44739644555056,-14.71498525905918
-45.257336067874,-61.67730370665148,-14.71498525577677
-46.24542782571722,-61.87713710534722,-14.714985252662435
-47.2064918482561,-62.04895851036965,-14.714985249818616
-48.138930484879545,-62.19478993308034,-14.714985247314347
-49.04119813153914,-62.31660188707026,-14.714985245186183
-49.91180607764085,-62.416302459206165,-14.714985243441204
-50.74932710296903,-62.49572732260889,-14.714985242061655
-51.55239967948208,-62.55663089701467,-14.714985241010716
-52.31973164929804,-62.60067882585833,-14.71498524023885
-53.05010327392666,-62.62944189436593,-14.714985239690018
-53.74236957895516,-62.64439146181245,-14.714985239307305
-54.39546195077014,-62.64689642716973,-14.714985239037517
-55.008388975194,-62.638221693999526,-14.71498523883456
-55.58023653994942,-62.61952805074388,-14.714985238661491
-56.11016725177081,-62.591873339112915,-14.714985238491373
